ontology,label,definition,internal_id,accuracy,internal_consistency,score,confidence,notes,is_a,relationships,evaluator,
cl,respiratory ciliated cell,A cell of the respiratory tract epithelium that is lined with cilia.,1,5.0,,5.0,3,,CiliatedCell,"{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,respiratory ciliated cell,A ciliated cell of the respiratory system. Ciliated cells are present in airway epithelium.,2,5.0,,5.0,3,,CiliatedCell,"{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,respiratory ciliated cell,"A ciliated cell found within the epithelium of the respiratory tract. These cells help to move mucus and trapped particles towards the throat, contributing to the clearing and health of the respiratory system.",3,5.0,,5.0,3,,CiliatedCell,"{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,respiratory ciliated cell,A ciliated cell of the respiratory tract epithelium.,4,5.0,,5.0,3,,CiliatedCell,"{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,respiratory ciliated cell,A ciliated cell that is part of the respiratory tract epithelium.,5,5.0,,5.0,3,,CiliatedCell,"{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,respiratory ciliated cell,A respiratory tract epithelial cell that bears vibratile cilia on the free surface.,8,5.0,,5.0,3,,CiliatedCell,"{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,respiratory ciliated cell,"A specialized type of cell that belongs to the subclass of ciliated cells. It is an integral part of the respiratory tract epithelium, which lines the respiratory tract. This type of cell is specifically found in the respiratory system. It possesses tiny hair-like projections called cilia on its surface, which constantly beat in coordinated waves. These cilia serve an important role in the movement and clearance of foreign particles, mucus, and debris from the respiratory tract.",9,5.0,,5.0,3,,CiliatedCell,"{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,dental pulp stem cell,A dental pulp stem cell that is part_of a dental pulp.,10,5.0,,3.0,3,,StemCell | DentalPulpCell,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,dental pulp stem cell,"A dental pulp cell that possesses stem-cell-like qualities, including self-renewal capability and multi-lineage differentiation.",11,5.0,,5.0,3,,StemCell | DentalPulpCell,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,dental pulp stem cell,A dental pulp stem cell.,16,5.0,,5.0,3,,StemCell | DentalPulpCell,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,dental pulp stem cell,A stem cell that is part of dental pulp.,17,5.0,,5.0,3,,StemCell | DentalPulpCell,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,dental pulp stem cell,A stem cell that is part_of a dental pulp.,18,5.0,,3.0,3,,StemCell | DentalPulpCell,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,early spermatid,A developmental cell that arises from a secondary spermatocyte and becomes a spermatid following meiosis II.,19,5.0,,5.0,3,,Spermatid,"{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,early spermatid,A spermatid in an early stage of maturation that has a round morphology and is transcriptionally active.,20,5.0,,5.0,3,,Spermatid,"{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,early spermatid,A stage of spermatid during spermatogenesis characterized by its early development.,21,4.0,,4.0,3,,Spermatid,"{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,early spermatid,A type of spermatid that is in an early stage of development.,22,5.0,,4.0,3,,Spermatid,"{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,early spermatid,"An early spermatid is a basic form of a sperm cell in the earlier stages of spermatogenesis, playing a vital role in the development and transformation into mature sperm.",23,5.0,,5.0,3,,Spermatid,"{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'} | {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
