ontology	label	definition	internal_id	accuracy	internal_consistency	score	confidence	notes	is_a	relationships	is_original	masked_id	expected_label	feature_definition	feature_aliases	feature_relationships	feature_logical_definition	masked_original_id	predicted_label	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives	task	method	model_name	feature_label	expected_relationships	predicted_relationships	expected_definition	predicted_definition
cl	respiratory ciliated cell	A cell of the respiratory tract epithelium that is lined with cilia.	1	0.0					CiliatedCell	{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}	False	RespiratoryCiliatedCell				[{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}, {'predicate': 'subClassOf', 'target': 'CiliatedCell'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'CiliatedCell'}, {'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}]	CL:4030034		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	direct	gpt-3.5-turbo	respiratory ciliated cell			A ciliated cell of the respiratory system. Ciliated cells are present in airway epithelium.	A cell of the respiratory tract epithelium that is lined with cilia.
cl	respiratory ciliated cell	A ciliated cell of the respiratory system. Ciliated cells are present in airway epithelium.	2	0.0					CiliatedCell	{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}	True	RespiratoryCiliatedCell				[{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}, {'predicate': 'subClassOf', 'target': 'CiliatedCell'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'CiliatedCell'}, {'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}]	CL:4030034		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	direct	gpt-3.5-turbo	respiratory ciliated cell			A ciliated cell of the respiratory system. Ciliated cells are present in airway epithelium.	A cell of the respiratory tract epithelium that is lined with cilia.
cl	respiratory ciliated cell	A ciliated cell found within the epithelium of the respiratory tract. These cells help to move mucus and trapped particles towards the throat, contributing to the clearing and health of the respiratory system.	3	0.0					CiliatedCell	{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}	False	RespiratoryCiliatedCell				[{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}, {'predicate': 'subClassOf', 'target': 'CiliatedCell'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'CiliatedCell'}, {'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}]	CL:4030034		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	background	gpt-4	respiratory ciliated cell			A ciliated cell of the respiratory system. Ciliated cells are present in airway epithelium.	A ciliated cell found within the epithelium of the respiratory tract. These cells help to move mucus and trapped particles towards the throat, contributing to the clearing and health of the respiratory system.
cl	respiratory ciliated cell	A ciliated cell of the respiratory tract epithelium.	4	0.0					CiliatedCell	{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}	False	RespiratoryCiliatedCell				[{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}, {'predicate': 'subClassOf', 'target': 'CiliatedCell'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'CiliatedCell'}, {'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}]	CL:4030034		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	direct	gpt-4	respiratory ciliated cell			A ciliated cell of the respiratory system. Ciliated cells are present in airway epithelium.	A ciliated cell of the respiratory tract epithelium.
cl	respiratory ciliated cell	A ciliated cell that is part of the respiratory tract epithelium.	5	0.0					CiliatedCell	{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}	False	RespiratoryCiliatedCell				[{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}, {'predicate': 'subClassOf', 'target': 'CiliatedCell'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'CiliatedCell'}, {'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}]	CL:4030034		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	github	gpt-3.5-turbo	respiratory ciliated cell			A ciliated cell of the respiratory system. Ciliated cells are present in airway epithelium.	A ciliated cell that is part of the respiratory tract epithelium.
cl	respiratory ciliated cell	A ciliated cell that is part of the respiratory tract epithelium.	6	0.0					CiliatedCell	{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}	False	RespiratoryCiliatedCell				[{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}, {'predicate': 'subClassOf', 'target': 'CiliatedCell'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'CiliatedCell'}, {'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}]	CL:4030034		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	github	gpt-4	respiratory ciliated cell			A ciliated cell of the respiratory system. Ciliated cells are present in airway epithelium.	A ciliated cell that is part of the respiratory tract epithelium.
cl	respiratory ciliated cell	A ciliated cell that is part of the respiratory tract epithelium.	7	0.0					CiliatedCell	{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}	False	RespiratoryCiliatedCell				[{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}, {'predicate': 'subClassOf', 'target': 'CiliatedCell'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'CiliatedCell'}, {'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}]	CL:4030034		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	devdocs	gpt-3.5-turbo	respiratory ciliated cell			A ciliated cell of the respiratory system. Ciliated cells are present in airway epithelium.	A ciliated cell that is part of the respiratory tract epithelium.
cl	respiratory ciliated cell	A respiratory tract epithelial cell that bears vibratile cilia on the free surface.	8	0.0					CiliatedCell	{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}	False	RespiratoryCiliatedCell				[{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}, {'predicate': 'subClassOf', 'target': 'CiliatedCell'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'CiliatedCell'}, {'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}]	CL:4030034		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	direct	nous-hermes-13b	respiratory ciliated cell			A ciliated cell of the respiratory system. Ciliated cells are present in airway epithelium.	A respiratory tract epithelial cell that bears vibratile cilia on the free surface.
cl	respiratory ciliated cell	A specialized type of cell that belongs to the subclass of ciliated cells. It is an integral part of the respiratory tract epithelium, which lines the respiratory tract. This type of cell is specifically found in the respiratory system. It possesses tiny hair-like projections called cilia on its surface, which constantly beat in coordinated waves. These cilia serve an important role in the movement and clearance of foreign particles, mucus, and debris from the respiratory tract.	9	0.0					CiliatedCell	{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}	False	RespiratoryCiliatedCell				[{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}, {'predicate': 'subClassOf', 'target': 'CiliatedCell'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'CiliatedCell'}, {'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}]	CL:4030034		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	background	gpt-3.5-turbo	respiratory ciliated cell			A ciliated cell of the respiratory system. Ciliated cells are present in airway epithelium.	A specialized type of cell that belongs to the subclass of ciliated cells. It is an integral part of the respiratory tract epithelium, which lines the respiratory tract. This type of cell is specifically found in the respiratory system. It possesses tiny hair-like projections called cilia on its surface, which constantly beat in coordinated waves. These cilia serve an important role in the movement and clearance of foreign particles, mucus, and debris from the respiratory tract.
cl	dental pulp stem cell	A dental pulp stem cell that is part_of a dental pulp.	10	0.0					StemCell | DentalPulpCell		False	DentalPulpStemCell				[{'predicate': 'subClassOf', 'target': 'StemCell'}, {'predicate': 'subClassOf', 'target': 'DentalPulpCell'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'StemCell'}, {'predicate': 'PartOf', 'target': 'DentalPulp'}]	CL:4030035		0.0	0.0	0.0	0.0	0.0	0	0	1	1	definition	background	gpt-3.5-turbo	dental pulp stem cell			A dental pulp cell that possesses stem-cell-like qualities, including self-renewal capability and multi-lineage differentiation.	A dental pulp stem cell that is part_of a dental pulp.
