# model_name: gpt-3.5-turbo
# embedding_model_name: 'openai:'
# generate_background: false
# task_started: '2023-09-03 21:38:56.158714'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_foodon
# additional_collections: null
# num_training: null
# num_testing: 50
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_foodon_training
#   testing_set_collection: ont_foodon_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - relationships
# report_path: null
# working_directory: results
# results: null
masked_id	feature_label	feature_definition	feature_aliases	expected_relationships	feature_logical_definition	masked_original_id	predicted_relationships	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
PignutHickoryNut	pignut hickory nut	A whole hickory nut from a pignut hickory tree (Carya glabra).		[{'predicate': 'InTaxon', 'target': 'CaryaGlabra'}, {'predicate': 'subClassOf', 'target': 'HickoryNut'}, {'predicate': 'subClassOf', 'target': 'CaryopsisFruit'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'CaryopsisFruit'}, {'predicate': 'InTaxon', 'target': 'CaryaGlabra'}]	FOODON:00004448	[{'predicate': 'InTaxon', 'target': 'CaryaGlabra'}, {'predicate': 'subClassOf', 'target': 'PignutHickoryNutFoodProduct'}, {'predicate': 'subClassOf', 'target': 'CaryopsisFruit'}]	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.5	0.0	2	0	1	1
GreekYogurt	greek yogurt			[{'predicate': 'subClassOf', 'target': 'StrainedYogurt'}]		FOODON:00004409	[{'predicate': 'subClassOf', 'target': 'YogurtFoodProduct'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
TurkeyMeat_ground_sauteed_	turkey meat (ground, sauteed)	Ground turkey meat which has been sauteed.		[{'predicate': 'subClassOf', 'target': 'TurkeyMeatFoodProduct'}]		FOODON:00004417	[{'predicate': 'subClassOf', 'target': 'SauteedTurkeyMeat'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
Raw	raw	A characteristic of an animal, plant, fungi or algae, or a substantial piece thereof, which has not had material processing done to it that affects its biochemical composition.		[{'predicate': 'subClassOf', 'target': 'FoodObjectQuality'}]		FOODON:00004348	[{'predicate': 'subClassOf', 'target': 'OrganismMaterial'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
SpeltFoodProduct	spelt food product	A food product made from spelt wheat.		[{'predicate': 'subClassOf', 'target': 'WheatFoodProduct'}]		FOODON:00004434	[{'predicate': 'DerivesFrom', 'target': 'SpeltWheat'}, {'predicate': 'subClassOf', 'target': 'FoodProduct'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	1
LongGrainBrownRice_uncooked_	long grain brown rice (uncooked)			[{'predicate': 'subClassOf', 'target': 'BrownRiceFoodProduct'}]		FOODON:00004374	[{'predicate': 'subClassOf', 'target': 'LongGrainBrownRiceKernel'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
LongGrainBrownRice_cooked_	long grain brown rice (cooked)			[{'predicate': 'subClassOf', 'target': 'BrownRiceFoodProduct'}]		FOODON:00004373	[{'predicate': 'DerivedFrom', 'target': 'LongGrainBrownRiceKernel'}, {'predicate': 'subClassOf', 'target': 'Food_cooked_'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	1
AnimalPieceS_	animal piece(s)	A collection of one or more anatomical or other pieces derived from animal(s).		[{'predicate': 'HasMember', 'target': 'AnimalPiece'}, {'predicate': 'subClassOf', 'target': 'AnimalMaterial'}]		FOODON:00004335	[{'predicate': 'subClassOf', 'target': 'AnimalMaterial'}]	1.0	0.5	0.6666666666666666	0.5	0.0	1	0	0	1
ShagbarkHickoryNut	shagbark hickory nut	A whole hickory nut from a shagbark hickory tree (Carya ovata)		[{'predicate': 'InTaxon', 'target': 'CaryaOvata'}, {'predicate': 'subClassOf', 'target': 'HickoryNut'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'HickoryNut'}, {'predicate': 'InTaxon', 'target': 'CaryaOvata'}]	FOODON:00004451	[{'predicate': 'InTaxon', 'target': 'CaryaOvata'}, {'predicate': 'subClassOf', 'target': 'HickoryNut'}]	1.0	1.0	1.0	1.0	0.0	2	0	0	0
MexicanGreySquash	mexican grey squash	A whole Mexican grey squash.		[{'predicate': 'subClassOf', 'target': 'SummerSquash'}]		FOODON:00004446	[{'predicate': 'subClassOf', 'target': 'GreySquash'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
