# model_name: gpt-3.5-turbo
# embedding_model_name: 'openai:'
# generate_background: true
# task_started: '2023-08-29 23:29:58.000779'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_envo
# num_training: null
# num_testing: 50
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_envo_training
#   testing_set_collection: ont_envo_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - relationships
# report_path: null
# working_directory: results
# results: null
masked_id	feature_label	feature_definition	feature_aliases	expected_relationships	feature_logical_definition	masked_original_id	predicted_relationships	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
Buoy	buoy	A manufactured product which floats in water and can be used a navigational marker among other purposes.		[{'predicate': 'subClassOf', 'target': 'ManufacturedProduct'}]		ENVO:03600085	[{'predicate': 'subClassOf', 'target': 'NavigationalMarker'}, {'predicate': 'subClassOf', 'target': 'ManufacturedProduct'}, {'predicate': 'HasQuality', 'target': 'Buoyancy'}, {'predicate': 'InheritsQualityFrom', 'target': 'Water'}]	0.25	1.0	0.4	0.25	0.0	1	0	3	0
PharmacyUnitFacility	pharmacy unit facility	A hospital unit facility which is used to provide pharmacy services.		[{'predicate': 'HasPart', 'target': 'Pharmacy'}, {'predicate': 'subClassOf', 'target': 'HospitalUnitFacility'}]		ENVO:03501171	[{'predicate': 'subClassOf', 'target': 'HealthcareFacility'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	2
IntensiveCareUnitRoom	intensive care unit room	A room in which intensive medical care is provided.		[{'predicate': 'PartOf', 'target': 'IntensiveCareUnitFacility'}, {'predicate': 'subClassOf', 'target': 'Room'}]		ENVO:03501155	[{'predicate': 'subClassOf', 'target': 'Room'}]	1.0	0.5	0.6666666666666666	0.5	0.0	1	0	0	1
Famine	famine	An environmental system process during which populations have reduced access to food, causing increased hunger, malnutrition, and consequent mortality.		[{'predicate': 'subClassOf', 'target': 'EnvironmentalSystemProcess'}]		ENVO:03510003	[{'predicate': 'subClassOf', 'target': 'EnvironmentalSystemProcess'}]	1.0	1.0	1.0	1.0	0.0	1	0	0	0
MassageTherapyClinic	massage therapy clinic	A medical clinic which is used to provide massage therapy services.		[{'predicate': 'subClassOf', 'target': 'MedicalClinic'}]		ENVO:03501187	[{'predicate': 'subClassOf', 'target': 'MedicalClinic'}, {'predicate': 'providesService', 'target': 'MassageTherapyService'}]	0.5	1.0	0.6666666666666666	0.5	0.0	1	0	1	0
FieldCapacity	field capacity	A concentration of liquid water in soil arrived at after water which is not retained by the soil has drained away.		[{'predicate': 'subClassOf', 'target': 'ConcentrationOfLiquidWaterInSoil'}]		ENVO:06105302	[{'predicate': 'subClassOf', 'target': 'ConcentrationOfSoilWater'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
SwingBridge	swing bridge	A bridge which is movable and has a vertical locating pin as its primary structural support, and a support ring about which it can pivot horizontally.		[{'predicate': 'subClassOf', 'target': 'Bridge'}]		ENVO:03501250	[{'predicate': 'subClassOf', 'target': 'MovableBridge'}, {'predicate': 'HasPart', 'target': 'VerticalLocatingPin'}, {'predicate': 'HasPart', 'target': 'SupportRing'}]	0.0	0.0	0.0	0.0	0.0	0	0	3	1
IrradiationByIonizingRadiation	irradiation by ionizing radiation	Irradiation during which a material entity receives energy through ionizing radiation.		[{'predicate': 'HasPart', 'target': 'IonizingRadiation'}, {'predicate': 'subClassOf', 'target': 'Irradiation'}]		ENVO:01003015	[{'predicate': 'subClassOf', 'target': 'IrradiationProcess'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	2
Pallet	pallet	A manufactured product which is a flat transport structure that supports goods in a stable fashion while being lifted and/or moved.		[{'predicate': 'subClassOf', 'target': 'ManufacturedProduct'}]		ENVO:03501268	[{'predicate': 'subClassOf', 'target': 'TransportStructure'}, {'predicate': 'UsedFor', 'target': 'Storage'}, {'predicate': 'UsedFor', 'target': 'Transportation'}, {'predicate': 'MadeFromMaterial', 'target': 'Wood'}, {'predicate': 'MadeFromMaterial', 'target': 'Plastic'}, {'predicate': 'MadeFromMaterial', 'target': 'Metal'}]	0.0	0.0	0.0	0.0	0.0	0	0	6	1
PrisonFacility	prison facility	A human construction which is used to forcibly confine humans.		[{'predicate': 'ParticipatesIn', 'target': 'UsageOfAnEnvironmentForCommunityAndSocialServices'}, {'predicate': 'subClassOf', 'target': 'HumanConstruction'}]		ENVO:03501204	[{'predicate': 'subClassOf', 'target': 'PrisonFacility'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	2
FoodProssessingNonProductionArea	food prossessing non-production area	A hygienic food production area which is not an immediate part of a food manufacturing process area.		[{'predicate': 'subClassOf', 'target': 'HygienicFoodProductionArea'}]		ENVO:03501319	[{'predicate': 'subClassOf', 'target': 'HygienicFoodProductionArea'}]	1.0	1.0	1.0	1.0	0.0	1	0	0	0
PrivatePrison	private prison	A prison facility which is owned and operated by a private corporation.		[{'predicate': 'subClassOf', 'target': 'PrisonFacility'}]		ENVO:03501205	[{'predicate': 'subClassOf', 'target': 'PrisonFacility'}]	1.0	1.0	1.0	1.0	0.0	1	0	0	0
Pharmacy	pharmacy	A healthcare facility which is used to prepare, dispense, or sell medical drugs.		[{'predicate': 'subClassOf', 'target': 'HealthcareFacility'}]		ENVO:03501193	[{'predicate': 'subClassOf', 'target': 'HealthcareFacility'}]	1.0	1.0	1.0	1.0	0.0	1	0	0	0
PlanetaryCryosphere	planetary cryosphere	A cryosphere which is part of a planet.		[{'predicate': 'PartOf', 'target': 'Planet'}, {'predicate': 'subClassOf', 'target': 'Cryosphere'}]		ENVO:03000144	[{'predicate': 'PartOf', 'target': 'Planet'}, {'predicate': 'subClassOf', 'target': 'Cryosphere'}]	1.0	1.0	1.0	1.0	0.0	2	0	0	0
Utensil	utensil	A hand tool for domestic use, especially in the kitchen.		[{'predicate': 'subClassOf', 'target': 'HandTool'}]		ENVO:03501327	[{'predicate': 'subClassOf', 'target': 'Tool'}, {'predicate': 'usedFor', 'target': 'Food preparation'}, {'predicate': 'usedFor', 'target': 'Cooking'}, {'predicate': 'usedFor', 'target': 'Serving'}]	0.0	0.0	0.0	0.0	0.0	0	0	4	1
PetroleumOilRefinery	petroleum oil refinery	A refinery which is capable of processing petroleum oil.		[{'predicate': 'subClassOf', 'target': 'Refinery'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Refinery'}, {'predicate': 'CapableOf', 'target': '_:riog00017075'}]	ENVO:02000142	[{'predicate': 'subClassOf', 'target': 'Refinery'}]	1.0	1.0	1.0	1.0	0.0	1	0	0	0
WalkInClinic	walk-in clinic	A medical clinic which is used to provide services to walk-in patients.		[{'predicate': 'subClassOf', 'target': 'MedicalClinic'}]		ENVO:03501192	[{'predicate': 'subClassOf', 'target': 'MedicalClinic'}, {'predicate': 'hasFunction', 'target': 'Walk-InService'}]	0.5	1.0	0.6666666666666666	0.5	0.0	1	0	1	0
Supermarket	supermarket	A self-service shop offering a wide variety of food, beverages and household products, organized into sections.		[{'predicate': 'subClassOf', 'target': 'FoodShop'}]		ENVO:03501290	[{'predicate': 'subClassOf', 'target': 'SelfServiceShop'}, {'predicate': 'hasPart', 'target': 'FoodProduct'}, {'predicate': 'hasPart', 'target': 'Beverage'}, {'predicate': 'hasPart', 'target': 'HouseholdProduct'}]	0.0	0.0	0.0	0.0	0.0	0	0	4	1
ContaminatedLand	contaminated land	Land which has elevated levels of some contaminants or substances that are potentially hazardous to health or the environment.		[{'predicate': 'subClassOf', 'target': 'Land'}]		ENVO:03600073	[{'predicate': 'HasQuality', 'target': 'Contaminated'}, {'predicate': 'subClassOf', 'target': 'Land'}]	0.5	1.0	0.6666666666666666	0.5	0.0	1	0	1	0
Pump	pump	A device that moves fluids (liquids or gases), or sometimes slurries, by mechanical action.		[{'predicate': 'subClassOf', 'target': 'ManufacturedProduct'}]		ENVO:03501266	[{'predicate': 'subClassOf', 'target': 'MechanicalDevice'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
