	model_name	embedding_model_name	generate_background	task_started	task_finished	executed_on	agent	extractor	method	source_db_path	target_db_path	source_collection	num_training	num_testing	num_validation	stratified_collection	fields_to_mask	fields_to_predict	report_path	working_directory	results	ontology	preds	tp	fp	fn	other	tp_list	fp_list	fn_list	new_terms	rows	masked_id	feature_label	feature_definition	feature_aliases	expected_relationships	feature_logical_definition	masked_original_id	predicted_relationships	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives	additional_collections	id	label	definition	aliases	relationships	logical_definition	original_id
0	gpt-4	openai:	True	2023-09-01 10:18:02.586748	2023-09-01 10:48:40.723027	Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT 2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64	dae	BasicExtractor	RAG+background-gpt-4	db	db	ont_go		50	0	{'source': None, 'training_set': None, 'testing_set': None, 'validation_set': None, 'training_set_collection': 'ont_go_training', 'testing_set_collection': 'ont_go_testing', 'validation_set_collection': None}	['id', 'original_id']	['relationships']		results	{'precision': 0.42166666666666663, 'recall': 0.40666666666666657, 'f1_score': 0.40733333333333327, 'accuracy': 0.3596666666666667, 'specificity': 0.0, 'true_positives': 41, 'true_negatives': 0, 'false_positives': 74, 'false_negatives': 52}	go	subClassOf	1	0	0.0	[]	[('subClassOf', 'CellularComponentAssembly')]	[]	[]	[]	[{'term_id': 'GO:0160073', 'term_label': 'Casparian strip assembly', 'pred': 'subClassOf', 'expected_tgt': 'CellularComponentAssembly', 'outcome': 'true_positive'}]	CasparianStripAssembly	Casparian strip assembly	The aggregation, arrangement and bonding together of a set of components to form a Casparian strip, a region of plant cell wall specialised to act as a seal to prevent back leakage of secreted material.		[{'predicate': 'PartOf', 'target': 'PlantTypeCellWallAssembly'}, {'predicate': 'ResultsInAssemblyOf', 'target': 'CasparianStrip'}, {'predicate': 'subClassOf', 'target': 'CellularComponentAssembly'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'CellularComponentAssembly'}, {'predicate': 'ResultsInAssemblyOf', 'target': 'CasparianStrip'}]	GO:0160073	[{'predicate': 'ResultsInAssemblyOf', 'target': 'CasparianStrip'}, {'predicate': 'subClassOf', 'target': 'CellularComponentAssembly'}]	1.0	0.6666666666666666	0.8	0.6666666666666666	0.0	2	0	0	1								
1	gpt-4	openai:	True	2023-09-01 10:18:02.586748	2023-09-01 10:48:40.723027	Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT 2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64	dae	BasicExtractor	RAG+background-gpt-4	db	db	ont_go		50	0	{'source': None, 'training_set': None, 'testing_set': None, 'validation_set': None, 'training_set_collection': 'ont_go_training', 'testing_set_collection': 'ont_go_testing', 'validation_set_collection': None}	['id', 'original_id']	['relationships']		results	{'precision': 0.42166666666666663, 'recall': 0.40666666666666657, 'f1_score': 0.40733333333333327, 'accuracy': 0.3596666666666667, 'specificity': 0.0, 'true_positives': 41, 'true_negatives': 0, 'false_positives': 74, 'false_negatives': 52}	go	subClassOf	1	0	0.0	[]	[('subClassOf', 'RadialSpokeBase')]	[]	[]	[]	[{'term_id': 'GO:0120340', 'term_label': 'radial spoke base 1', 'pred': 'subClassOf', 'expected_tgt': 'RadialSpokeBase', 'outcome': 'true_positive'}]	RadialSpokeBase1	radial spoke base 1	The short portion of the radial spoke 1 (RS1) that is directly anchored to the A microtubule of an axonemal microtubule doublet.		[{'predicate': 'PartOf', 'target': 'RadialSpoke1'}, {'predicate': 'subClassOf', 'target': 'RadialSpokeBase'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'RadialSpokeBase'}, {'predicate': 'PartOf', 'target': 'RadialSpoke1'}]	GO:0120340	[{'predicate': 'PartOf', 'target': 'RadialSpoke1'}, {'predicate': 'subClassOf', 'target': 'RadialSpokeBase'}]	1.0	1.0	1.0	1.0	0.0	2	0	0	0								
2	gpt-4	openai:	True	2023-09-01 10:18:02.586748	2023-09-01 10:48:40.723027	Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT 2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64	dae	BasicExtractor	RAG+background-gpt-4	db	db	ont_go		50	0	{'source': None, 'training_set': None, 'testing_set': None, 'validation_set': None, 'training_set_collection': 'ont_go_training', 'testing_set_collection': 'ont_go_testing', 'validation_set_collection': None}	['id', 'original_id']	['relationships']		results	{'precision': 0.42166666666666663, 'recall': 0.40666666666666657, 'f1_score': 0.40733333333333327, 'accuracy': 0.3596666666666667, 'specificity': 0.0, 'true_positives': 41, 'true_negatives': 0, 'false_positives': 74, 'false_negatives': 52}	go	subClassOf	1	0	0.0	[]	[('subClassOf', 'GProteinCoupledReceptorSignalingPathway')]	[]	[]	['GProteinCoupledReceptorSignalingPathway']	[{'term_id': 'GO:0140986', 'term_label': 'G protein-coupled chemorepellent receptor signaling pathway', 'pred': 'subClassOf', 'expected_tgt': 'GProteinCoupledReceptorSignalingPathway', 'outcome': 'true_positive'}]	GProteinCoupledChemorepellentReceptorSignalingPathway	G protein-coupled chemorepellent receptor signaling pathway	A G protein-coupled receptor signaling pathway initiated by an opioid binding to its receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. cytoskeleton reorganization.		[{'predicate': 'subClassOf', 'target': 'GProteinCoupledReceptorSignalingPathway'}]		GO:0140986	[{'predicate': 'subClassOf', 'target': 'GProteinCoupledReceptorSignalingPathway'}]	1.0	1.0	1.0	1.0	0.0	1	0	0	0								
3	gpt-4	openai:	True	2023-09-01 10:18:02.586748	2023-09-01 10:48:40.723027	Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT 2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64	dae	BasicExtractor	RAG+background-gpt-4	db	db	ont_go		50	0	{'source': None, 'training_set': None, 'testing_set': None, 'validation_set': None, 'training_set_collection': 'ont_go_training', 'testing_set_collection': 'ont_go_testing', 'validation_set_collection': None}	['id', 'original_id']	['relationships']		results	{'precision': 0.42166666666666663, 'recall': 0.40666666666666657, 'f1_score': 0.40733333333333327, 'accuracy': 0.3596666666666667, 'specificity': 0.0, 'true_positives': 41, 'true_negatives': 0, 'false_positives': 74, 'false_negatives': 52}	go	subClassOf	0	0	1.0	[]	[]	[]	[('subClassOf', 'DisruptionOfCellularAnatomicalStructureInAnotherOrganism')]	['DisruptionByOrganismOfCellularComponentInOtherOrganism']	[]	DisruptionOfExtracellularMatrixOfAnotherOrganism	disruption of extracellular matrix of another organism	The chemical reactions and pathways performed by an organism resulting in the breakdown of the extracellular matrix of another organism.		[{'predicate': 'subClassOf', 'target': 'DisruptionOfCellularAnatomicalStructureInAnotherOrganism'}]		GO:0141041	[{'predicate': 'subClassOf', 'target': 'DisruptionByOrganismOfCellularComponentInOtherOrganism'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1								
4	gpt-4	openai:	True	2023-09-01 10:18:02.586748	2023-09-01 10:48:40.723027	Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT 2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64	dae	BasicExtractor	RAG+background-gpt-4	db	db	ont_go		50	0	{'source': None, 'training_set': None, 'testing_set': None, 'validation_set': None, 'training_set_collection': 'ont_go_training', 'testing_set_collection': 'ont_go_testing', 'validation_set_collection': None}	['id', 'original_id']	['relationships']		results	{'precision': 0.42166666666666663, 'recall': 0.40666666666666657, 'f1_score': 0.40733333333333327, 'accuracy': 0.3596666666666667, 'specificity': 0.0, 'true_positives': 41, 'true_negatives': 0, 'false_positives': 74, 'false_negatives': 52}	go	subClassOf	0	0	1.0	[]	[]	[]	[('subClassOf', 'BiologicalProcessInvolvedInInterspeciesInteractionBetweenOrganisms')]	['DisruptionOfAnatomicalStructure']	[]	DisruptionOfAnatomicalStructureInAnotherOrganism	disruption of anatomical structure in another organism	The disruption of an anatomical structure of another organism, leading to damage or temporary subversion of that structure.		[{'predicate': 'subClassOf', 'target': 'BiologicalProcessInvolvedInInterspeciesInteractionBetweenOrganisms'}]		GO:0141060	[{'predicate': 'subClassOf', 'target': 'DisruptionOfAnatomicalStructure'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1								
5	gpt-4	openai:	True	2023-09-01 10:18:02.586748	2023-09-01 10:48:40.723027	Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT 2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64	dae	BasicExtractor	RAG+background-gpt-4	db	db	ont_go		50	0	{'source': None, 'training_set': None, 'testing_set': None, 'validation_set': None, 'training_set_collection': 'ont_go_training', 'testing_set_collection': 'ont_go_testing', 'validation_set_collection': None}	['id', 'original_id']	['relationships']		results	{'precision': 0.42166666666666663, 'recall': 0.40666666666666657, 'f1_score': 0.40733333333333327, 'accuracy': 0.3596666666666667, 'specificity': 0.0, 'true_positives': 41, 'true_negatives': 0, 'false_positives': 74, 'false_negatives': 52}	go	subClassOf	0	0	0.5	[('subClassOf', 'Detoxification', 'PredictedMoreGeneralThan', 'DetoxificationOfInorganicCompound')]	[]	[]	[]	[]	[{'term_id': 'GO:0140982', 'term_label': 'detoxification of aluminum ion', 'pred': 'subClassOf', 'expected_tgt': 'DetoxificationOfInorganicCompound', 'outcome': 'tp[more_general]'}]	DetoxificationOfAluminumIon	detoxification of aluminum ion	Any process that reduce or remove the toxicity of aluminum ions. These can include transport of the aluminum away from sensitive areas,  sequesteration, or chemical modification to an inert form.		[{'predicate': 'HasPrimaryInput', 'target': 'AluminiumCation'}, {'predicate': 'subClassOf', 'target': 'DetoxificationOfInorganicCompound'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Detoxification'}, {'predicate': 'HasPrimaryInput', 'target': 'AluminiumCation'}]	GO:0140982	[{'predicate': 'HasPrimaryInput', 'target': 'AluminiumCation'}, {'predicate': 'subClassOf', 'target': 'Detoxification'}]	0.5	0.5	0.5	0.3333333333333333	0.0	1	0	1	1								
6	gpt-4	openai:	True	2023-09-01 10:18:02.586748	2023-09-01 10:48:40.723027	Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT 2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64	dae	BasicExtractor	RAG+background-gpt-4	db	db	ont_go		50	0	{'source': None, 'training_set': None, 'testing_set': None, 'validation_set': None, 'training_set_collection': 'ont_go_training', 'testing_set_collection': 'ont_go_testing', 'validation_set_collection': None}	['id', 'original_id']	['relationships']		results	{'precision': 0.42166666666666663, 'recall': 0.40666666666666657, 'f1_score': 0.40733333333333327, 'accuracy': 0.3596666666666667, 'specificity': 0.0, 'true_positives': 41, 'true_negatives': 0, 'false_positives': 74, 'false_negatives': 52}	go	subClassOf	0	0	0.5	[('subClassOf', 'RetrotransposonSilencing', 'PredictedMoreGeneralThan', 'RetrotransposonSilencingByMRNADestabilization')]	[]	[]	[]	['mRNADestabilization']	[{'term_id': 'GO:0141011', 'term_label': 'siRNA-mediated retrotransposon silencing by mRNA destabilization', 'pred': 'subClassOf', 'expected_tgt': 'RetrotransposonSilencingByMRNADestabilization', 'outcome': 'tp[more_general]'}]	SiRNAMediatedRetrotransposonSilencingByMRNADestabilization	siRNA-mediated retrotransposon silencing by mRNA destabilization	A retrotransposon silencing mechanism in which mRNAs transcribed from transposons are targeted for degradation by a siRNA.		[{'predicate': 'subClassOf', 'target': 'RetrotransposonSilencingByMRNADestabilization'}]		GO:0141011	[{'predicate': 'subClassOf', 'target': 'RetrotransposonSilencing'}, {'predicate': 'subClassOf', 'target': 'mRNADestabilization'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	1								
7	gpt-4	openai:	True	2023-09-01 10:18:02.586748	2023-09-01 10:48:40.723027	Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT 2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64	dae	BasicExtractor	RAG+background-gpt-4	db	db	ont_go		50	0	{'source': None, 'training_set': None, 'testing_set': None, 'validation_set': None, 'training_set_collection': 'ont_go_training', 'testing_set_collection': 'ont_go_testing', 'validation_set_collection': None}	['id', 'original_id']	['relationships']		results	{'precision': 0.42166666666666663, 'recall': 0.40666666666666657, 'f1_score': 0.40733333333333327, 'accuracy': 0.3596666666666667, 'specificity': 0.0, 'true_positives': 41, 'true_negatives': 0, 'false_positives': 74, 'false_negatives': 52}	go	subClassOf	0	0	0.0	[('subClassOf', 'GO:0140975', 'PredictedMoreSpecificThan', 'DisruptionOfAnatomicalStructureInAnotherOrganism')]	[]	[]	[]	[]	[]	DisruptionOfCellInAnotherOrganism	disruption of cell in another organism	The disruption of a cell of another organism, leading to damage or temporary subversion of that cell.		[{'predicate': 'subClassOf', 'target': 'DisruptionOfAnatomicalStructureInAnotherOrganism'}]		GO:0141061	[{'predicate': 'subClassOf', 'target': 'DisruptionOfCellularAnatomicalStructureInAnotherOrganism'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1								
8	gpt-4	openai:	True	2023-09-01 10:18:02.586748	2023-09-01 10:48:40.723027	Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT 2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64	dae	BasicExtractor	RAG+background-gpt-4	db	db	ont_go		50	0	{'source': None, 'training_set': None, 'testing_set': None, 'validation_set': None, 'training_set_collection': 'ont_go_training', 'testing_set_collection': 'ont_go_testing', 'validation_set_collection': None}	['id', 'original_id']	['relationships']		results	{'precision': 0.42166666666666663, 'recall': 0.40666666666666657, 'f1_score': 0.40733333333333327, 'accuracy': 0.3596666666666667, 'specificity': 0.0, 'true_positives': 41, 'true_negatives': 0, 'false_positives': 74, 'false_negatives': 52}	go	subClassOf	1	0	1.0	[]	[('subClassOf', 'PerturbationOfHostMAPKSignalTransductionPathway')]	[]	[('subClassOf', 'SymbiontMediatedSuppressionOfHostSignalTransductionPathway')]	[]	[{'term_id': 'GO:0141070', 'term_label': 'symbiont-mediated suppression of host MAPK cascade', 'pred': 'subClassOf', 'expected_tgt': 'PerturbationOfHostMAPKSignalTransductionPathway', 'outcome': 'true_positive'}]	SymbiontMediatedSuppressionOfHostMAPKSignalTransductionPathway	symbiont-mediated suppression of host MAPK signal transduction pathway	A process in which a symbiont interferes with, inhibits or disrupts a MAPK signal transduction pathway in its host organism. The host is defined as the larger of the organisms involved in a symbiotic interaction.		[{'predicate': 'subClassOf', 'target': 'SymbiontMediatedSuppressionOfHostSignalTransductionPathway'}, {'predicate': 'subClassOf', 'target': 'PerturbationOfHostMAPKSignalTransductionPathway'}]		GO:0141070	[{'predicate': 'subClassOf', 'target': 'PerturbationOfHostMAPKSignalTransductionPathway'}]	1.0	0.5	0.6666666666666666	0.5	0.0	1	0	0	1								
9	gpt-4	openai:	True	2023-09-01 10:18:02.586748	2023-09-01 10:48:40.723027	Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT 2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64	dae	BasicExtractor	RAG+background-gpt-4	db	db	ont_go		50	0	{'source': None, 'training_set': None, 'testing_set': None, 'validation_set': None, 'training_set_collection': 'ont_go_training', 'testing_set_collection': 'ont_go_testing', 'validation_set_collection': None}	['id', 'original_id']	['relationships']		results	{'precision': 0.42166666666666663, 'recall': 0.40666666666666657, 'f1_score': 0.40733333333333327, 'accuracy': 0.3596666666666667, 'specificity': 0.0, 'true_positives': 41, 'true_negatives': 0, 'false_positives': 74, 'false_negatives': 52}	go	subClassOf	0	0	1.0	[]	[]	[]	[('subClassOf', 'SymbiontDefenseToHostProducedReactiveOxygenSpecies')]	['DetoxificationOfHostGeneratedReactiveOxygenSpecies', 'InterferenceWithHostReactiveOxygenSpecies']	[]	SymbiontMediatedDetoxificationOfHostGeneratedReactiveOxygenSpecies	symbiont-mediated detoxification of host-generated reactive oxygen species	A process in which a symbiont interferes with, inhibits or disrupts the host reactive oxygen species (ROS)-mediated innate immune response by directly degrading host ROS. The host is defined as the larger of the organisms involved in a symbiotic interaction.		[{'predicate': 'subClassOf', 'target': 'SymbiontDefenseToHostProducedReactiveOxygenSpecies'}]		GO:0141082	[{'predicate': 'subClassOf', 'target': 'DetoxificationOfHostGeneratedReactiveOxygenSpecies'}, {'predicate': 'subClassOf', 'target': 'InterferenceWithHostReactiveOxygenSpecies'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	1								
