# model_name: gpt-3.5-turbo
# embedding_model_name: 'openai:'
# generate_background: false
# task_started: '2023-09-20 20:09:08.895660'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_go
# additional_collections: null
# num_training: null
# num_testing: 50
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_go_training
#   testing_set_collection: ont_go_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - logical_definition
# report_path: null
# working_directory: results
# results: null
id	label	definition	aliases	relationships	logical_definition	original_id	masked_id	feature_label	feature_definition	feature_aliases	feature_relationships	expected_logical_definition	masked_original_id	predicted_logical_definition	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
							CasparianStripAssembly	Casparian strip assembly	The aggregation, arrangement and bonding together of a set of components to form a Casparian strip, a region of plant cell wall specialised to act as a seal to prevent back leakage of secreted material.		[{'predicate': 'PartOf', 'target': 'PlantTypeCellWallAssembly'}, {'predicate': 'ResultsInAssemblyOf', 'target': 'CasparianStrip'}, {'predicate': 'subClassOf', 'target': 'CellularComponentAssembly'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'CellularComponentAssembly'}, {'predicate': 'ResultsInAssemblyOf', 'target': 'CasparianStrip'}]	GO:0160073	[{'predicate': 'rdfs:subClassOf', 'target': 'CellularComponentAssembly'}, {'predicate': 'ResultsInAssemblyOf', 'target': 'CasparianStrip'}]	1.0	1.0	1.0	1.0	0.0	2	0	0	0
							RadialSpokeBase1	radial spoke base 1	The short portion of the radial spoke 1 (RS1) that is directly anchored to the A microtubule of an axonemal microtubule doublet.		[{'predicate': 'PartOf', 'target': 'RadialSpoke1'}, {'predicate': 'subClassOf', 'target': 'RadialSpokeBase'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'RadialSpokeBase'}, {'predicate': 'PartOf', 'target': 'RadialSpoke1'}]	GO:0120340	[{'predicate': 'rdfs:subClassOf', 'target': 'RadialSpokeBase'}, {'predicate': 'PartOf', 'target': 'RadialSpoke1'}]	1.0	1.0	1.0	1.0	0.0	2	0	0	0
							GProteinCoupledChemorepellentReceptorSignalingPathway	G protein-coupled chemorepellent receptor signaling pathway	A G protein-coupled receptor signaling pathway initiated by an opioid binding to its receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. cytoskeleton reorganization.		[{'predicate': 'subClassOf', 'target': 'GProteinCoupledReceptorSignalingPathway'}]		GO:0140986	[{'predicate': 'rdfs:subClassOf', 'target': 'BiologicalProcess'}, {'predicate': 'subClassOf', 'target': 'GProteinCoupledReceptorSignalingPathway'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							DisruptionOfExtracellularMatrixOfAnotherOrganism	disruption of extracellular matrix of another organism	The chemical reactions and pathways performed by an organism resulting in the breakdown of the extracellular matrix of another organism.		[{'predicate': 'subClassOf', 'target': 'DisruptionOfCellularAnatomicalStructureInAnotherOrganism'}]		GO:0141041	[{'predicate': 'rdfs:subClassOf', 'target': 'DisruptionOfCellularAnatomicalStructureInAnotherOrganism'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							DisruptionOfAnatomicalStructureInAnotherOrganism	disruption of anatomical structure in another organism	The disruption of an anatomical structure of another organism, leading to damage or temporary subversion of that structure.		[{'predicate': 'subClassOf', 'target': 'BiologicalProcessInvolvedInInterspeciesInteractionBetweenOrganisms'}]		GO:0141060	[{'predicate': 'rdfs:subClassOf', 'target': 'BiologicalProcessInvolvedInInterspeciesInteractionBetweenOrganisms'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							DetoxificationOfAluminumIon	detoxification of aluminum ion	Any process that reduce or remove the toxicity of aluminum ions. These can include transport of the aluminum away from sensitive areas,  sequesteration, or chemical modification to an inert form.		[{'predicate': 'HasPrimaryInput', 'target': 'AluminiumCation'}, {'predicate': 'subClassOf', 'target': 'DetoxificationOfInorganicCompound'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Detoxification'}, {'predicate': 'HasPrimaryInput', 'target': 'AluminiumCation'}]	GO:0140982	[{'predicate': 'rdfs:subClassOf', 'target': 'Detoxification'}, {'predicate': 'HasPrimaryInput', 'target': 'AluminiumCation'}]	1.0	1.0	1.0	1.0	0.0	2	0	0	0
							SiRNAMediatedRetrotransposonSilencingByMRNADestabilization	siRNA-mediated retrotransposon silencing by mRNA destabilization	A retrotransposon silencing mechanism in which mRNAs transcribed from transposons are targeted for degradation by a siRNA.		[{'predicate': 'subClassOf', 'target': 'RetrotransposonSilencingByMRNADestabilization'}]		GO:0141011	[{'predicate': 'rdfs:subClassOf', 'target': 'RetrotransposonSilencingByMRNADestabilization'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							DisruptionOfCellInAnotherOrganism	disruption of cell in another organism	The disruption of a cell of another organism, leading to damage or temporary subversion of that cell.		[{'predicate': 'subClassOf', 'target': 'DisruptionOfAnatomicalStructureInAnotherOrganism'}]		GO:0141061	[{'predicate': 'rdfs:subClassOf', 'target': 'DisruptionOfAnatomicalStructureInAnotherOrganism'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							SymbiontMediatedSuppressionOfHostMAPKSignalTransductionPathway	symbiont-mediated suppression of host MAPK signal transduction pathway	A process in which a symbiont interferes with, inhibits or disrupts a MAPK signal transduction pathway in its host organism. The host is defined as the larger of the organisms involved in a symbiotic interaction.		[{'predicate': 'subClassOf', 'target': 'SymbiontMediatedSuppressionOfHostSignalTransductionPathway'}, {'predicate': 'subClassOf', 'target': 'PerturbationOfHostMAPKSignalTransductionPathway'}]		GO:0141070	[{'predicate': 'rdfs:subClassOf', 'target': 'SymbiontMediatedPerturbationOfHostSignalTransductionPathway'}, {'predicate': 'InhibitsOrDisrupts', 'target': 'MAPKSignalTransductionPathway'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							SymbiontMediatedDetoxificationOfHostGeneratedReactiveOxygenSpecies	symbiont-mediated detoxification of host-generated reactive oxygen species	A process in which a symbiont interferes with, inhibits or disrupts the host reactive oxygen species (ROS)-mediated innate immune response by directly degrading host ROS. The host is defined as the larger of the organisms involved in a symbiotic interaction.		[{'predicate': 'subClassOf', 'target': 'SymbiontDefenseToHostProducedReactiveOxygenSpecies'}]		GO:0141082	[{'predicate': 'rdfs:subClassOf', 'target': 'SymbiontDefense'}, {'predicate': 'DirectlyDisrupts', 'target': 'ROS-MediatedInnateImmuneResponse'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
