# model_name: gpt-4
# embedding_model_name: 'openai:'
# generate_background: false
# task_started: '2023-09-03 22:54:08.502571'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_oba
# additional_collections: null
# num_training: null
# num_testing: 50
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_oba_training
#   testing_set_collection: ont_oba_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - relationships
# report_path: null
# working_directory: results
# results: null
masked_id	feature_label	feature_definition	feature_aliases	expected_relationships	feature_logical_definition	masked_original_id	predicted_relationships	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
HeadShape	head shape	The shape of a head.		[{'predicate': 'InheresIn', 'target': 'Head'}, {'predicate': 'subClassOf', 'target': 'HeadMorphologyTrait'}, {'predicate': 'subClassOf', 'target': 'Shape'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Shape'}, {'predicate': 'InheresIn', 'target': 'Head'}]	OBA:2060039	[{'predicate': 'subClassOf', 'target': 'Shape'}, {'predicate': 'InheresIn', 'target': 'Head'}]	1.0	0.6666666666666666	0.8	0.6666666666666666	0.0	2	0	0	1
BloodCobaltAmount	blood cobalt amount	The amount of a cobalt atom when measured in blood.		[{'predicate': 'subClassOf', 'target': 'NutrientLevel'}, {'predicate': 'subClassOf', 'target': 'BloodToxicMetalAmount'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Amount'}, {'predicate': 'InheresIn', 'target': '_:riog00242830'}]	OBA:2050077	[{'predicate': 'subClassOf', 'target': 'BloodMetaboliteAmount'}, {'predicate': 'subClassOf', 'target': 'BloodToxicMetalAmount'}, {'predicate': 'subClassOf', 'target': 'CobaltAmount'}]	0.3333333333333333	0.5	0.4	0.25	0.0	1	0	2	1
KneeJointFunctionality	knee joint functionality	The functionality of a knee joint.		[{'predicate': 'InheresIn', 'target': 'KneeJoint'}, {'predicate': 'subClassOf', 'target': 'SynovialJointQuality'}, {'predicate': 'subClassOf', 'target': 'HindlimbJointQuality'}, {'predicate': 'subClassOf', 'target': 'Functionality'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Functionality'}, {'predicate': 'InheresIn', 'target': 'KneeJoint'}]	OBA:2060187	[{'predicate': 'InheresIn', 'target': 'KneeJoint'}, {'predicate': 'subClassOf', 'target': 'Functionality'}]	1.0	0.5	0.6666666666666666	0.5	0.0	2	0	0	2
VitellineVasculatureMorphology	vitelline vasculature morphology	The morphology of a vitelline vasculature.		[{'predicate': 'InheresIn', 'target': 'VitellineVasculature'}, {'predicate': 'subClassOf', 'target': 'VitellineVasculatureQuality'}, {'predicate': 'subClassOf', 'target': 'CardiovascularSystemMorphologyTrait'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Morphology'}, {'predicate': 'InheresIn', 'target': 'VitellineVasculature'}]	OBA:2060160	[{'predicate': 'InheresIn', 'target': 'VitellineVasculature'}, {'predicate': 'subClassOf', 'target': 'VitellineVasculatureQuality'}]	1.0	0.6666666666666666	0.8	0.6666666666666666	0.0	2	0	0	1
LysineInBloodAmount	lysine in blood amount	The amount of a lysine when measured in blood.		[{'predicate': 'subClassOf', 'target': 'BloodMetaboliteAmount'}, {'predicate': 'subClassOf', 'target': 'BloodAminoAcidAmount'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Amount'}, {'predicate': 'InheresIn', 'target': '_:riog00238966'}]	OBA:2020005	[{'predicate': 'subClassOf', 'target': 'BiomoleculeAmount'}, {'predicate': 'subClassOf', 'target': 'ChemicalInBloodAmount'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	2
RetinaStructure	retina structure	The structure of a retina.		[{'predicate': 'InheresIn', 'target': 'Retina'}, {'predicate': 'subClassOf', 'target': 'RetinaMorphologyTrait'}, {'predicate': 'subClassOf', 'target': 'Structure'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Structure'}, {'predicate': 'InheresIn', 'target': 'Retina'}]	OBA:2060171	[{'predicate': 'InheresIn', 'target': 'Retina'}, {'predicate': 'subClassOf', 'target': 'RetinaMorphologyTrait'}, {'predicate': 'subClassOf', 'target': 'Structure'}]	1.0	1.0	1.0	1.0	0.0	3	0	0	0
ChinMorphologyTrait	chin morphology trait	The morphology of a chin.		[{'predicate': 'InheresIn', 'target': 'Chin'}, {'predicate': 'subClassOf', 'target': 'MandibleMorphologyTrait'}, {'predicate': 'subClassOf', 'target': 'FacialMorphologyTrait'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Morphology'}, {'predicate': 'InheresIn', 'target': 'Chin'}]	OBA:2050101	[{'predicate': 'InheresIn', 'target': 'Chin'}, {'predicate': 'subClassOf', 'target': 'HeadMorphologyTrait'}]	0.5	0.3333333333333333	0.4	0.25	0.0	1	0	1	2
ThigmotaxisRate	thigmotaxis rate	The rate of a thigmotaxis.		[{'predicate': 'InheresIn', 'target': 'Thigmotaxis'}, {'predicate': 'subClassOf', 'target': 'LocomotoryBehaviorRate'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Rate'}, {'predicate': 'InheresIn', 'target': 'Thigmotaxis'}]	OBA:2060010	[{'predicate': 'InheresIn', 'target': 'Thigmotaxis'}, {'predicate': 'subClassOf', 'target': 'BehavioralResponseToTouch'}, {'predicate': 'subClassOf', 'target': 'Rate'}]	0.3333333333333333	0.5	0.4	0.25	0.0	1	0	2	1
SerumAlanineAminotransferaseAmount	serum alanine aminotransferase amount	The amount of a alanine aminotransferase when measured in blood serum.		[{'predicate': 'subClassOf', 'target': 'SerumNonAlbuminProteinAmount'}, {'predicate': 'subClassOf', 'target': 'BloodAlanineTransaminaseAmount'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Amount'}, {'predicate': 'InheresIn', 'target': '_:riog00242545'}]	OBA:2050062	[{'predicate': 'subClassOf', 'target': 'SerumProteinAmount'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	2
BloodSodiumBicarbonateAmount	blood sodium bicarbonate amount	The amount of a sodium hydrogencarbonate when measured in blood.		[{'predicate': 'subClassOf', 'target': 'ChemicalInBloodAmount'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Amount'}, {'predicate': 'InheresIn', 'target': '_:riog00243169'}]	OBA:2050094	[{'predicate': 'subClassOf', 'target': 'BloodMetaboliteAmount'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
