# model_name: nous-hermes-13b
# embedding_model_name: 'openai:'
# generate_background: false
# task_started: '2023-09-04 11:45:45.034903'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_envo
# additional_collections: null
# num_training: null
# num_testing: 50
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_envo_training
#   testing_set_collection: ont_envo_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - relationships
# report_path: null
# working_directory: results
# results: null
masked_id	feature_label	feature_definition	feature_aliases	expected_relationships	feature_logical_definition	masked_original_id	predicted_relationships	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
Buoy	buoy	A manufactured product which floats in water and can be used a navigational marker among other purposes.		[{'predicate': 'subClassOf', 'target': 'ManufacturedProduct'}]		ENVO:03600085	[{'predicate': 'subClassOf', 'target': 'ManufacturedProduct'}]	1.0	1.0	1.0	1.0	0.0	1	0	0	0
PharmacyUnitFacility	pharmacy unit facility	A hospital unit facility which is used to provide pharmacy services.		[{'predicate': 'HasPart', 'target': 'Pharmacy'}, {'predicate': 'subClassOf', 'target': 'HospitalUnitFacility'}]		ENVO:03501171	[{'predicate': 'subClassOf', 'target': 'HospitalUnitFacility'}]	1.0	0.5	0.6666666666666666	0.5	0.0	1	0	0	1
IntensiveCareUnitRoom	intensive care unit room	A room in which intensive medical care is provided.		[{'predicate': 'PartOf', 'target': 'IntensiveCareUnitFacility'}, {'predicate': 'subClassOf', 'target': 'Room'}]		ENVO:03501155	[{'predicate': 'subClassOf', 'target': 'Room'}, {'predicate': 'hasQuality', 'target': 'IntensiveCare'}]	0.5	0.5	0.5	0.3333333333333333	0.0	1	0	1	1
Famine	famine	An environmental system process during which populations have reduced access to food, causing increased hunger, malnutrition, and consequent mortality.		[{'predicate': 'subClassOf', 'target': 'EnvironmentalSystemProcess'}]		ENVO:03510003	[{'predicate': 'subClassOf', 'target': 'AnthropogenicEnvironmentalProcess'}, {'predictor': 'hasCausalAgent', 'effect': 'increased hunger, malnutrition and consequent mortality'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	1
MassageTherapyClinic	massage therapy clinic	A medical clinic which is used to provide massage therapy services.		[{'predicate': 'subClassOf', 'target': 'MedicalClinic'}]		ENVO:03501187	[{'predicate': 'subClassOf', 'target': 'MedicalClinic'}, {'predicate': 'provides', 'target': 'MassageTherapyServices'}]	0.5	1.0	0.6666666666666666	0.5	0.0	1	0	1	0
FieldCapacity	field capacity	A concentration of liquid water in soil arrived at after water which is not retained by the soil has drained away.		[{'predicate': 'subClassOf', 'target': 'ConcentrationOfLiquidWaterInSoil'}]		ENVO:06105302	[{'predicate': 'subClassOf', 'target': 'ConcentrationOfLiquidWaterInSoil'}]	1.0	1.0	1.0	1.0	0.0	1	0	0	0
SwingBridge	swing bridge	A bridge which is movable and has a vertical locating pin as its primary structural support, and a support ring about which it can pivot horizontally.		[{'predicate': 'subClassOf', 'target': 'Bridge'}]		ENVO:03501250	[{'predicate': 'subClassOf', 'target': 'TransportFeature'}, {'predicate': 'hasType', 'target': 'MovableBridge'}]	0.0	0.0	0.0	0.0	0.0	0	0	2	1
IrradiationByIonizingRadiation	irradiation by ionizing radiation	Irradiation during which a material entity receives energy through ionizing radiation.		[{'predicate': 'HasPart', 'target': 'IonizingRadiation'}, {'predicate': 'subClassOf', 'target': 'Irradiation'}]		ENVO:01003015	[{'predicate': 'subClassOf', 'target': 'IrradiationDeterminedByAProcess'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	2
Pallet	pallet	A manufactured product which is a flat transport structure that supports goods in a stable fashion while being lifted and/or moved.		[{'predicate': 'subClassOf', 'target': 'ManufacturedProduct'}]		ENVO:03501268	[{'predicate': 'subClassOf', 'target': 'ManufacturedProduct'}]	1.0	1.0	1.0	1.0	0.0	1	0	0	0
PrisonFacility	prison facility	A human construction which is used to forcibly confine humans.		[{'predicate': 'ParticipatesIn', 'target': 'UsageOfAnEnvironmentForCommunityAndSocialServices'}, {'predicate': 'subClassOf', 'target': 'HumanConstruction'}]		ENVO:03501204	[{'predicate': 'subClassOf', 'target': 'PrisonFacility'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	2
FoodProssessingNonProductionArea	food prossessing non-production area	A hygienic food production area which is not an immediate part of a food manufacturing process area.		[{'predicate': 'subClassOf', 'target': 'HygienicFoodProductionArea'}]		ENVO:03501319	[{'predicate': 'subClassOf', 'target': 'FoodProcessingArea'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	1
