# model_name: gpt-4
# embedding_model_name: 'openai:'
# generate_background: true
# task_started: '2023-09-21 10:52:47.945170'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_uberon
# additional_collections: null
# num_training: null
# num_testing: 44
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_uberon_training
#   testing_set_collection: ont_uberon_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - definition
# report_path: null
# working_directory: results
# results: null
id	label	definition	aliases	relationships	logical_definition	original_id	masked_id	feature_label	expected_definition	feature_aliases	feature_relationships	feature_logical_definition	masked_original_id	predicted_definition	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
							Pharynx	pharynx	The pharynx is the part of the digestive system immediately posterior to the mouth[GO].		[{'predicate': 'OnlyInTaxon', 'target': 'Bilateria'}, {'predicate': 'subClassOf', 'target': 'SubdivisionOfDigestiveTract'}]		UBERON:0006562	A biological entity that is part of the digestive system, specifically found in organisms with bilateral symmetry, serving as a pathway for food digestion and nutrient absorption.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							ParaspinalRegion	paraspinal region	The region of the body adjacent to the vertebral column.		[{'predicate': 'OnlyInTaxon', 'target': 'Vertebrata_vertebrates_'}, {'predicate': 'subClassOf', 'target': 'PosteriorRegionOfBody'}]		UBERON:8480060	The region of the body that is exclusively found in vertebrates, directly adjacent to the spine and housing the paraspinous muscles that are involved in movements of the back and neck, as well as maintaining the posture. Part of the posterior region of the body.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							SubsegmentalBronchus	subsegmental bronchus	Branch of conducting airway between a segmental bronchus and a preterminal bronchiole.		[{'predicate': 'PartOf', 'target': 'System'}, {'predicate': 'PartOf', 'target': 'LobeOfLung'}, {'predicate': 'PartOf', 'target': 'BronchopulmonarySegment'}, {'predicate': 'HasPart', 'target': 'CartilageOfBronchus'}, {'predicate': 'HasPart', 'target': 'BronchusSmoothMuscle'}, {'predicate': 'HasPart', 'target': 'LungMesenchyme'}, {'predicate': 'HasPart', 'target': 'BronchusSubmucosalGland'}, {'predicate': 'ProximallyConnectedTo', 'target': 'SegmentalBronchus'}, {'predicate': 'subClassOf', 'target': 'IntrapulmonaryBronchus'}]		UBERON:8600009	A smaller and more directed branch within the bronchial tree which is part of the bronchopulmonary segment and the lobe of the lung. It is composed of cartilage of bronchus, bronchus smooth muscle, lung mesenchyme and bronchus submucosal gland, and is proximally connected to the segmental bronchus.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							SubiliacLymphNode	subiliac lymph node	A lymph node located inferior to the ilium.		[{'predicate': 'subClassOf', 'target': 'ParietalPelvicLymphNode'}]		UBERON:8480045	The subiliac lymph node is a subclass of the parietal pelvic lymph node. It is located in the subiliac region, near the hip or iliac crest. Its primary function is to manufacture and store cells that help the body fight disease and infection. Any changes in this lymph node may indicate an infection or disease process in the body and may need further medical investigation.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							VisceralStriatedMuscleTissue	visceral striated muscle tissue	A striated muscle tissue that is associated with soft internal organs (viscera).		[{'predicate': 'subClassOf', 'target': 'StriatedMuscleTissue'}, {'predicate': 'subClassOf', 'target': 'VisceralMuscleTissue'}]		UBERON:8600006	A specialized type of muscle tissue that possesses the structures and characteristics of both striated muscle tissue and visceral muscle tissue, and is often associated with the functioning of specific internal organs.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							VisceralTransverselyStriatedMuscleTissue	visceral transversely striated muscle tissue	A striated visceral muscle tissue that has a transverse striation.		[{'predicate': 'subClassOf', 'target': 'VisceralStriatedMuscleTissue'}]		UBERON:8600007	A distinct subclass of visceral striated muscle tissue characterized by transverse or crosswise striations. It is involved in the involuntary control of various internal organs such as esophagus, bronchi and parts of the eye.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							LongBoneCartilageElement	long bone cartilage element	A skeletal element that is part of a long bone and composed of cartilage tissue.		[{'predicate': 'PartOf', 'target': 'LongBone'}, {'predicate': 'subClassOf', 'target': 'CartilageElement'}]		UBERON:8480044	A cartilage element that is part of a long bone.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							PosteriorSectorOfRightLobeOfLiver	posterior sector of right lobe of liver	The posterior sector of the right lobe of the liver.		[{'predicate': 'PartOf', 'target': 'RightLobeOfLiver'}, {'predicate': 'subClassOf', 'target': 'AnatomicalEntity_UBERON:0001062'}]		UBERON:8600015	An anatomical entity that is part of the right lobe of the liver, specifically positioned towards the posterior aspect of the liver. It houses various hepatic cells and carries out functions related to metabolism, detoxification, and other essential biological processes.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							PericardialRegion	pericardial region	The region of the body adjacent to the pericardium and heart.		[{'predicate': 'subClassOf', 'target': 'SubdivisionOfTrunk'}]		UBERON:8480061	The zone associated with the pericardium which includes the heart and the roots of the major blood vessels related to it.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							SubmucosalGlandCollectingDuct	submucosal gland collecting duct	A non-secretory tubular structure in the submucosal gland where secretions are collected before flowing towards the surface epithelium.		[{'predicate': 'PartOf', 'target': 'SubmucosalGland'}, {'predicate': 'subClassOf', 'target': 'Duct'}]		UBERON:8600013	A specialized duct that is part of a submucosal gland.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
