# model_name: gpt-4
# embedding_model_name: 'openai:'
# generate_background: false
# task_started: '2023-09-21 04:51:29.146474'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_cl
# additional_collections: null
# num_training: null
# num_testing: 50
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_cl_training
#   testing_set_collection: ont_cl_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - logical_definition
# report_path: null
# working_directory: results
# results: null
id	label	definition	aliases	relationships	logical_definition	original_id	masked_id	feature_label	feature_definition	feature_aliases	feature_relationships	expected_logical_definition	masked_original_id	predicted_logical_definition	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
							LungMigratoryDendriticCell	lung migratory dendritic cell	A dendritic cell that captures antigens in a lung and migrates to a lymph node or to the spleen to activate T cells.		[{'predicate': 'subClassOf', 'target': 'DendriticCell'}]		CL:4033045	[{'predicate': 'rdfs:subClassOf', 'target': 'DendriticCell'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							ONBlueConeBipolarCell	ON-blue cone bipolar cell	An ON bipolar cell type with dendrites selectively contacting S-cones.		[{'predicate': 'subClassOf', 'target': 'ONBipolarCell'}]		CL:4033019	[{'predicate': 'rdfs:subClassOf', 'target': 'ONBipolarCell'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							DiffuseBipolar3aCell	diffuse bipolar 3a cell	An OFF calbindin-positive bipolar cell that has a large dendritic field and stratifies narrowly close to the middle of the inner plexiform layer. Its axon terminal is characterized by regularly branching and varicose processes resembling beads on a string. Most of DB3a contacts with cones are triad-associated.		[{'predicate': 'subClassOf', 'target': 'OFFBipolarCell'}]		CL:4033029	[{'predicate': 'rdfs:subClassOf', 'target': 'OFFBipolarCell'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							EarlySpermatid	early spermatid	A spermatid in an early stage of maturation that has a round morphology and is transcriptionally active.		[{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'}, {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}, {'predicate': 'subClassOf', 'target': 'Spermatid'}]		CL:4030036	[{'predicate': 'rdfs:subClassOf', 'target': 'Spermatid'}, {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							AirwaySubmucosalGlandDuctBasalCell	airway submucosal gland duct basal cell	A basal cell that is part of a duct of an airway submucosal gland.		[{'predicate': 'PartOf', 'target': 'AirwaySubmucosalGland'}, {'predicate': 'subClassOf', 'target': 'BasalCell'}]		CL:4033024	[{'predicate': 'rdfs:subClassOf', 'target': 'BasalCell'}, {'predicate': 'PartOf', 'target': 'AirwaySubmucosalGland'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							PerichondrialFibroblast	perichondrial fibroblast	A fibroblast that is part of the fibrous layer of the perichondrium. This cell is responsible for collagen fiber production.		[{'predicate': 'PartOf', 'target': 'OuterFibrousLayerOfPerichondrium'}, {'predicate': 'subClassOf', 'target': 'Fibroblast'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Fibroblast'}, {'predicate': 'PartOf', 'target': 'OuterFibrousLayerOfPerichondrium'}]	CL:4033025	[{'predicate': 'rdfs:subClassOf', 'target': 'Fibroblast'}, {'predicate': 'PartOf', 'target': 'OuterFibrousLayerOfPerichondrium'}]	1.0	1.0	1.0	1.0	0.0	2	0	0	0
							InvaginatingMidgetBipolarCell	invaginating midget bipolar cell	An ON bipolar cell with a small dendritic tree that forms most of the central (invaginating) elements opposite the synaptic ribbon at the cone triad.		[{'predicate': 'subClassOf', 'target': 'ONBipolarCell'}]		CL:4033034	[{'predicate': 'rdfs:subClassOf', 'target': 'ONBipolarCell'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							EccentricMediumSpinyNeuron	eccentric medium spiny neuron	A medium spiny neuron that exhibits transcriptional divergence from direct and indirect spiny projection neurons, for example, enrichment in Casz1, Otof, Cacng5 and Pcdh8 noted in mice. Whilst in general medium spiny neurons have been found to be differentially distributed across the basal ganglia, the eccentric medium spiny neuron cell type has been found to be more evenly distributed throughout cerebral nuclei.		[{'predicate': 'subClassOf', 'target': 'MediumSpinyNeuron'}]		CL:4030057	[{'predicate': 'rdfs:subClassOf', 'target': 'MediumSpinyNeuron'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							D1D2HybridMediumSpinyNeuron	D1/D2-hybrid medium spiny neuron	A medium spiny neuron that expresses both DRD1 and DRD2 and is part of an extra-striosomal part of dorsal striatum.		[{'predicate': 'HasSomaLocation', 'target': 'DorsalStriatum'}, {'predicate': 'Expresses', 'target': 'D1A_dopamineReceptor'}, {'predicate': 'Expresses', 'target': 'D2_dopamineReceptor'}, {'predicate': 'subClassOf', 'target': 'MediumSpinyNeuron'}]		CL:4030050	[{'predicate': 'rdfs:subClassOf', 'target': 'MediumSpinyNeuron'}, {'predicate': 'HasSomaLocation', 'target': 'DorsalStriatum'}, {'predicate': 'Expresses', 'target': 'D1A_dopamineReceptor'}, {'predicate': 'Expresses', 'target': 'D2_dopamineReceptor'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							MetallothioneinPositiveAlveolarMacrophage	metallothionein-positive alveolar macrophage	An alveolar macrophage that expresses metallothionein.		[{'predicate': 'subClassOf', 'target': 'AlveolarMacrophage'}]		CL:4033042	[{'predicate': 'rdfs:subClassOf', 'target': 'AlveolarMacrophage'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
