# model_name: gpt-4
# embedding_model_name: 'openai:'
# generate_background: true
# task_started: '2023-09-01 21:51:00.596991'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_uberon
# additional_collections: null
# num_training: null
# num_testing: 40
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_uberon_training
#   testing_set_collection: ont_uberon_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - definition
# report_path: null
# working_directory: results
# results: null
masked_id	feature_label	expected_definition	feature_aliases	feature_relationships	feature_logical_definition	masked_original_id	predicted_definition	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
Pharynx	pharynx	The pharynx is the part of the digestive system immediately posterior to the mouth[GO].		[{'predicate': 'OnlyInTaxon', 'target': 'Bilateria'}, {'predicate': 'subClassOf', 'target': 'SubdivisionOfDigestiveTract'}]		UBERON:0006562	The part of the digestive tube that is positioned immediately posterior to the mouth and nasal cavities, serving as a passageway for food to the esophagus and air to the larynx, found only in bilaterally symmetrical organisms.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
ParaspinalRegion	paraspinal region	The region of the body adjacent to the vertebral column.		[{'predicate': 'OnlyInTaxon', 'target': 'Vertebrata_vertebrates_'}, {'predicate': 'subClassOf', 'target': 'PosteriorRegionOfBody'}]		UBERON:8480060	A specific area alongside the spine, existing only in vertebrates, and is a part of the larger posterior region of the body.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
SubsegmentalBronchus	subsegmental bronchus	Branch of conducting airway between a segmental bronchus and a preterminal bronchiole.		[{'predicate': 'PartOf', 'target': 'System'}, {'predicate': 'PartOf', 'target': 'LobeOfLung'}, {'predicate': 'PartOf', 'target': 'BronchopulmonarySegment'}, {'predicate': 'HasPart', 'target': 'CartilageOfBronchus'}, {'predicate': 'HasPart', 'target': 'BronchusSmoothMuscle'}, {'predicate': 'HasPart', 'target': 'LungMesenchyme'}, {'predicate': 'HasPart', 'target': 'BronchusSubmucosalGland'}, {'predicate': 'ProximallyConnectedTo', 'target': 'SegmentalBronchus'}, {'predicate': 'subClassOf', 'target': 'IntrapulmonaryBronchus'}]		UBERON:8600009	The subsegmental bronchus is a component of the respiratory system, specifically located within a bronchopulmonary segment of a lung lobe. It has several parts including cartilage of bronchus for structural support, bronchus smooth muscle for regulation of airflow, lung mesenchyme as the connective tissue, and bronchus submucosal gland for mucus production. This bronchus is subclass of intrapulmonary bronchus and is proximally connected to the segmental bronchus.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
SubiliacLymphNode	subiliac lymph node	A lymph node located inferior to the ilium.		[{'predicate': 'subClassOf', 'target': 'ParietalPelvicLymphNode'}]		UBERON:8480045	The Subiliac Lymph Node is a part of the lymphatic system and located in the pelvic cavity. It is a subclass of the Parietal Pelvic Lymph Nodes and helps filter lymph fluid from the pelvis and lower extremities.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
VisceralStriatedMuscleTissue	visceral striated muscle tissue	A striated muscle tissue that is associated with soft internal organs (viscera).		[{'predicate': 'subClassOf', 'target': 'StriatedMuscleTissue'}, {'predicate': 'subClassOf', 'target': 'VisceralMuscleTissue'}]		UBERON:8600006	A type of muscle tissue that combines the structural characteristics of striated muscle tissue and the specific involuntary functioning and location associated with visceral muscle tissue.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
VisceralTransverselyStriatedMuscleTissue	visceral transversely striated muscle tissue	A striated visceral muscle tissue that has a transverse striation.		[{'predicate': 'subClassOf', 'target': 'VisceralStriatedMuscleTissue'}]		UBERON:8600007	A specialized type of muscle tissue found in visceral organs, characterized by its transversely striped striations.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
LongBoneCartilageElement	long bone cartilage element	A skeletal element that is part of a long bone and composed of cartilage tissue.		[{'predicate': 'PartOf', 'target': 'LongBone'}, {'predicate': 'subClassOf', 'target': 'CartilageElement'}]		UBERON:8480044	A specific component of cartilage that is part of a long bone.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
PosteriorSectorOfRightLobeOfLiver	posterior sector of right lobe of liver	The posterior sector of the right lobe of the liver.		[{'predicate': 'PartOf', 'target': 'RightLobeOfLiver'}, {'predicate': 'subClassOf', 'target': 'AnatomicalEntity_UBERON:0001062'}]		UBERON:8600015	The posterior sector of the right lobe of the liver is an anatomical structure within the larger right lobe of the liver positioned towards the back of the body. It plays a crucial role in functions such as detoxification, protein synthesis, and the production of biochemicals necessary for digestion and growth. It is a subclass of UBERON:0001062 - a universal, multi-species anatomical structure. The posterior sector forms an essential part of the right lobe of the liver, contributing to its functionalities and size. Its health and functionality directly influence the overall health of the liver and, by extension, the individual.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
PericardialRegion	pericardial region	The region of the body adjacent to the pericardium and heart.		[{'predicate': 'subClassOf', 'target': 'SubdivisionOfTrunk'}]		UBERON:8480061	A specific anatomical area that pertains to the area surrounding the heart where the pericardium, the double-walled sac containing the heart and the roots of the great vessels, is located.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
SubmucosalGlandCollectingDuct	submucosal gland collecting duct	A non-secretory tubular structure in the submucosal gland where secretions are collected before flowing towards the surface epithelium.		[{'predicate': 'PartOf', 'target': 'SubmucosalGland'}, {'predicate': 'subClassOf', 'target': 'Duct'}]		UBERON:8600013	A duct that is part of a submucosal gland.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
