# model_name: gpt-3.5-turbo
# embedding_model_name: 'openai:'
# generate_background: true
# task_started: '2023-09-02 00:27:38.439165'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_uberon
# additional_collections: null
# num_training: null
# num_testing: 40
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_uberon_training
#   testing_set_collection: ont_uberon_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - definition
# report_path: null
# working_directory: results
# results: null
masked_id	feature_label	expected_definition	feature_aliases	feature_relationships	feature_logical_definition	masked_original_id	predicted_definition	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
Pharynx	pharynx	The pharynx is the part of the digestive system immediately posterior to the mouth[GO].		[{'predicate': 'OnlyInTaxon', 'target': 'Bilateria'}, {'predicate': 'subClassOf', 'target': 'SubdivisionOfDigestiveTract'}]		UBERON:0006562	A muscular tube-like structure that connects the nasal and oral cavities to the esophagus and larynx, exclusively found in organisms belonging to the taxonomic group known as Bilateria. It serves as a crucial passage for both food and air, aiding in digestion and respiration. Additionally, it is considered a subdivision of the digestive tract, emphasizing its integral role in the overall functioning of the digestive system.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
ParaspinalRegion	paraspinal region	The region of the body adjacent to the vertebral column.		[{'predicate': 'OnlyInTaxon', 'target': 'Vertebrata_vertebrates_'}, {'predicate': 'subClassOf', 'target': 'PosteriorRegionOfBody'}]		UBERON:8480060	A subregion of the posterior region of the body in vertebrates that extends from the base of the skull down to the pelvis along the entire length of the vertebral column. It includes the muscles, ligaments, tendons, paravertebral ganglia, and other anatomical structures that support and protect the vertebral column and spinal cord. The paraspinal region plays a crucial role in maintaining posture, facilitating movement, and enabling the proper functioning of the central nervous system.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
SubsegmentalBronchus	subsegmental bronchus	Branch of conducting airway between a segmental bronchus and a preterminal bronchiole.		[{'predicate': 'PartOf', 'target': 'System'}, {'predicate': 'PartOf', 'target': 'LobeOfLung'}, {'predicate': 'PartOf', 'target': 'BronchopulmonarySegment'}, {'predicate': 'HasPart', 'target': 'CartilageOfBronchus'}, {'predicate': 'HasPart', 'target': 'BronchusSmoothMuscle'}, {'predicate': 'HasPart', 'target': 'LungMesenchyme'}, {'predicate': 'HasPart', 'target': 'BronchusSubmucosalGland'}, {'predicate': 'ProximallyConnectedTo', 'target': 'SegmentalBronchus'}, {'predicate': 'subClassOf', 'target': 'IntrapulmonaryBronchus'}]		UBERON:8600009	A bronchus that is part of a bronchopulmonary segment and is proximally connected to a segmental bronchus.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
SubiliacLymphNode	subiliac lymph node	A lymph node located inferior to the ilium.		[{'predicate': 'subClassOf', 'target': 'ParietalPelvicLymphNode'}]		UBERON:8480045	The subiliac lymph node is a lymph node located in the pelvic region near the iliac bone. It is a subclass of the parietal pelvic lymph node.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
VisceralStriatedMuscleTissue	visceral striated muscle tissue	A striated muscle tissue that is associated with soft internal organs (viscera).		[{'predicate': 'subClassOf', 'target': 'StriatedMuscleTissue'}, {'predicate': 'subClassOf', 'target': 'VisceralMuscleTissue'}]		UBERON:8600006	A specialized type of muscle tissue that possesses both visceral and striated characteristics.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
VisceralTransverselyStriatedMuscleTissue	visceral transversely striated muscle tissue	A striated visceral muscle tissue that has a transverse striation.		[{'predicate': 'subClassOf', 'target': 'VisceralStriatedMuscleTissue'}]		UBERON:8600007	A type of muscle tissue found exclusively in the heart, characterized by a striated appearance and involuntary function. It is responsible for pumping blood throughout the body.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
LongBoneCartilageElement	long bone cartilage element	A skeletal element that is part of a long bone and composed of cartilage tissue.		[{'predicate': 'PartOf', 'target': 'LongBone'}, {'predicate': 'subClassOf', 'target': 'CartilageElement'}]		UBERON:8480044	A cartilage element that is part of a long bone.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
PosteriorSectorOfRightLobeOfLiver	posterior sector of right lobe of liver	The posterior sector of the right lobe of the liver.		[{'predicate': 'PartOf', 'target': 'RightLobeOfLiver'}, {'predicate': 'subClassOf', 'target': 'AnatomicalEntity_UBERON:0001062'}]		UBERON:8600015	A specific region within the right lobe of the liver that is located towards the back or rear aspect of the right lobe. It is a part of the right lobe and belongs to the broader category of anatomical entities classified under the label 'AnatomicalEntity_UBERON:0001062.'	0.0	0.0	0.0	0.0	0.0	0	0	1	1
PericardialRegion	pericardial region	The region of the body adjacent to the pericardium and heart.		[{'predicate': 'subClassOf', 'target': 'SubdivisionOfTrunk'}]		UBERON:8480061	A specific anatomical area within the chest cavity that is associated with the pericardium and serves to protect and support the heart.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
SubmucosalGlandCollectingDuct	submucosal gland collecting duct	A non-secretory tubular structure in the submucosal gland where secretions are collected before flowing towards the surface epithelium.		[{'predicate': 'PartOf', 'target': 'SubmucosalGland'}, {'predicate': 'subClassOf', 'target': 'Duct'}]		UBERON:8600013	A duct that is part of a submucosal gland.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
