# model_name: gpt-4
# embedding_model_name: 'openai:'
# generate_background: false
# task_started: '2023-09-21 10:43:57.636107'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_uberon
# additional_collections: null
# num_training: null
# num_testing: 44
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_uberon_training
#   testing_set_collection: ont_uberon_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - label
# report_path: null
# working_directory: results
# results: null
id	label	definition	aliases	relationships	logical_definition	original_id	masked_id	expected_label	feature_definition	feature_aliases	feature_relationships	feature_logical_definition	masked_original_id	predicted_label	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
							Pharynx	pharynx	The pharynx is the part of the digestive system immediately posterior to the mouth[GO].		[{'predicate': 'OnlyInTaxon', 'target': 'Bilateria'}, {'predicate': 'subClassOf', 'target': 'SubdivisionOfDigestiveTract'}]		UBERON:0006562	pharynx	1.0	1.0	1.0	1.0	0.0	1	0	0	0
							ParaspinalRegion	paraspinal region	The region of the body adjacent to the vertebral column.		[{'predicate': 'OnlyInTaxon', 'target': 'Vertebrata_vertebrates_'}, {'predicate': 'subClassOf', 'target': 'PosteriorRegionOfBody'}]		UBERON:8480060	dorsal region of body	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							SubsegmentalBronchus	subsegmental bronchus	Branch of conducting airway between a segmental bronchus and a preterminal bronchiole.		[{'predicate': 'PartOf', 'target': 'System'}, {'predicate': 'PartOf', 'target': 'LobeOfLung'}, {'predicate': 'PartOf', 'target': 'BronchopulmonarySegment'}, {'predicate': 'HasPart', 'target': 'CartilageOfBronchus'}, {'predicate': 'HasPart', 'target': 'BronchusSmoothMuscle'}, {'predicate': 'HasPart', 'target': 'LungMesenchyme'}, {'predicate': 'HasPart', 'target': 'BronchusSubmucosalGland'}, {'predicate': 'ProximallyConnectedTo', 'target': 'SegmentalBronchus'}, {'predicate': 'subClassOf', 'target': 'IntrapulmonaryBronchus'}]		UBERON:8600009	subsegmental bronchus	1.0	1.0	1.0	1.0	0.0	1	0	0	0
							SubiliacLymphNode	subiliac lymph node	A lymph node located inferior to the ilium.		[{'predicate': 'subClassOf', 'target': 'ParietalPelvicLymphNode'}]		UBERON:8480045	inferior iliac lymph node	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							VisceralStriatedMuscleTissue	visceral striated muscle tissue	A striated muscle tissue that is associated with soft internal organs (viscera).		[{'predicate': 'subClassOf', 'target': 'StriatedMuscleTissue'}, {'predicate': 'subClassOf', 'target': 'VisceralMuscleTissue'}]		UBERON:8600006	visceral striated muscle tissue	1.0	1.0	1.0	1.0	0.0	1	0	0	0
							VisceralTransverselyStriatedMuscleTissue	visceral transversely striated muscle tissue	A striated visceral muscle tissue that has a transverse striation.		[{'predicate': 'subClassOf', 'target': 'VisceralStriatedMuscleTissue'}]		UBERON:8600007	transversely striated visceral muscle tissue	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							LongBoneCartilageElement	long bone cartilage element	A skeletal element that is part of a long bone and composed of cartilage tissue.		[{'predicate': 'PartOf', 'target': 'LongBone'}, {'predicate': 'subClassOf', 'target': 'CartilageElement'}]		UBERON:8480044	cartilage element of long bone	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							PosteriorSectorOfRightLobeOfLiver	posterior sector of right lobe of liver	The posterior sector of the right lobe of the liver.		[{'predicate': 'PartOf', 'target': 'RightLobeOfLiver'}, {'predicate': 'subClassOf', 'target': 'AnatomicalEntity_UBERON:0001062'}]		UBERON:8600015	posterior sector of right hepatic lobe	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							PericardialRegion	pericardial region	The region of the body adjacent to the pericardium and heart.		[{'predicate': 'subClassOf', 'target': 'SubdivisionOfTrunk'}]		UBERON:8480061	periheart region	0.0	0.0	0.0	0.0	0.0	0	0	1	1
							SubmucosalGlandCollectingDuct	submucosal gland collecting duct	A non-secretory tubular structure in the submucosal gland where secretions are collected before flowing towards the surface epithelium.		[{'predicate': 'PartOf', 'target': 'SubmucosalGland'}, {'predicate': 'subClassOf', 'target': 'Duct'}]		UBERON:8600013	submucosal gland collecting duct	1.0	1.0	1.0	1.0	0.0	1	0	0	0
