# model_name: gpt-3.5-turbo
# embedding_model_name: 'openai:'
# generate_background: true
# task_started: '2023-09-04 10:16:37.794999'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_foodon
# additional_collections: null
# num_training: null
# num_testing: 50
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_foodon_training
#   testing_set_collection: ont_foodon_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - definition
# report_path: null
# working_directory: results
# results: null
masked_id	feature_label	expected_definition	feature_aliases	feature_relationships	feature_logical_definition	masked_original_id	predicted_definition	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
PignutHickoryNut	pignut hickory nut	A whole hickory nut from a pignut hickory tree (Carya glabra).		[{'predicate': 'InTaxon', 'target': 'CaryaGlabra'}, {'predicate': 'subClassOf', 'target': 'HickoryNut'}, {'predicate': 'subClassOf', 'target': 'CaryopsisFruit'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'CaryopsisFruit'}, {'predicate': 'InTaxon', 'target': 'CaryaGlabra'}]	FOODON:00004448	A caryopsis fruit of a pignut hickory tree (Carya glabra).	0.0	0.0	0.0	0.0	0.0	0	0	1	1
GreekYogurt	greek yogurt			[{'predicate': 'subClassOf', 'target': 'StrainedYogurt'}]		FOODON:00004409	Greek yogurt is a type of yogurt that is made by straining regular yogurt to remove the whey, resulting in a thicker and denser consistency. It has a tangy and slightly sour flavor. Greek yogurt is known for its high protein content and low carbohydrate content, making it a popular choice for individuals looking to increase their protein intake. It is also packed with essential nutrients such as calcium, vitamin B12, potassium, and probiotics. Greek yogurt can be used in a variety of dishes and serves as a healthy substitute for other dairy products.	0.0	0.0	0.0	0.0	0.0	0	0	1	0
TurkeyMeat_ground_sauteed_	turkey meat (ground, sauteed)	Ground turkey meat which has been sauteed.		[{'predicate': 'subClassOf', 'target': 'TurkeyMeatFoodProduct'}]		FOODON:00004417	Ground sautéed turkey meat is a specific type of food product derived from turkeys. It falls under the subclass of TurkeyMeatFoodProduct and is created by mincing the meat and cooking it in a skillet. Ground sautéed turkey meat is a nutritious and lean source of protein and can be used in a multitude of dishes, making it an excellent choice for those seeking variety and health-conscious options in their meals.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
Raw	raw	A characteristic of an animal, plant, fungi or algae, or a substantial piece thereof, which has not had material processing done to it that affects its biochemical composition.		[{'predicate': 'subClassOf', 'target': 'FoodObjectQuality'}]		FOODON:00004348		0.0	0.0	0.0	0.0	0.0	0	0	0	1
SpeltFoodProduct	spelt food product	A food product made from spelt wheat.		[{'predicate': 'subClassOf', 'target': 'WheatFoodProduct'}]		FOODON:00004434		0.0	0.0	0.0	0.0	0.0	0	0	0	1
LongGrainBrownRice_uncooked_	long grain brown rice (uncooked)			[{'predicate': 'subClassOf', 'target': 'BrownRiceFoodProduct'}]		FOODON:00004374	A type of uncooked rice that falls under the category of BrownRiceFoodProduct. It is characterized by its long and slender grains, which give it a distinct appearance compared to other rice varieties. Long grain brown rice is a whole grain food, meaning that it contains all three parts of the grain - the bran, germ, and endosperm. The bran and germ are important components as they contain essential nutrients and dietary fiber. This makes long grain brown rice a healthier alternative to white rice, as it offers more nutritional value and benefits. One of the notable features of long grain brown rice is its nutty flavor and chewy texture. When properly cooked, it retains its firmness and doesn't become overly soft or sticky. This makes it ideal for a variety of dishes, including pilafs, salads, stir-fries, and side dishes. In terms of cooking methods, long grain brown rice requires a longer cooking time compared to white rice due to its bran and germ content. It typically needs to be simmered or boiled for around 45-50 minutes, or until it reaches a tender consistency. Using the correct ratio of water to rice is crucial to ensure optimal results. Long grain brown rice not only adds a delicious and wholesome element to meals but also offers numerous health benefits. It is a good source of complex carbohydrates, which provide sustained energy and help regulate blood sugar levels. The dietary fiber found in long grain brown rice aids in digestion, promotes satiety, and helps maintain a healthy weight. Additionally, it contains minerals such as magnesium, phosphorus, and selenium, as well as vitamins like B vitamins and vitamin E. Overall, long grain brown rice is a versatile and nutritious grain option that can enhance the flavor and nutritional profile of various dishes. Its unique texture, nutty taste, and health benefits make it a popular choice among those seeking a wholesome and satisfying addition to their meals. Being classified as a BrownRiceFoodProduct, it is a healthy alternative and a staple in many cuisines worldwide.	0.0	0.0	0.0	0.0	0.0	0	0	1	0
LongGrainBrownRice_cooked_	long grain brown rice (cooked)			[{'predicate': 'subClassOf', 'target': 'BrownRiceFoodProduct'}]		FOODON:00004373	A brown rice food product which is cooked long grain brown rice.	0.0	0.0	0.0	0.0	0.0	0	0	1	0
AnimalPieceS_	animal piece(s)	A collection of one or more anatomical or other pieces derived from animal(s).		[{'predicate': 'HasMember', 'target': 'AnimalPiece'}, {'predicate': 'subClassOf', 'target': 'AnimalMaterial'}]		FOODON:00004335	A type of material derived from an animal, which includes any part or fragment of an animal detached from the whole body.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
ShagbarkHickoryNut	shagbark hickory nut	A whole hickory nut from a shagbark hickory tree (Carya ovata)		[{'predicate': 'InTaxon', 'target': 'CaryaOvata'}, {'predicate': 'subClassOf', 'target': 'HickoryNut'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'HickoryNut'}, {'predicate': 'InTaxon', 'target': 'CaryaOvata'}]	FOODON:00004451	A hickory nut of the Carya ovata species.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
MexicanGreySquash	mexican grey squash	A whole Mexican grey squash.		[{'predicate': 'subClassOf', 'target': 'SummerSquash'}]		FOODON:00004446	Mexican grey squash, also known as Calabacita, is a type of summer squash that belongs to the broader category of SummerSquash. It is a popular vegetable in Mexican cuisine and is prized for its unique flavor and versatility in various dishes.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
RolledOats_cooked_	rolled oats (cooked)	Rolled oats which are cooked		[{'predicate': 'subClassOf', 'target': 'RolledOats'}]		FOODON:00004362		0.0	0.0	0.0	0.0	0.0	0	0	0	1
RyeKernel_cooked_	rye kernel (cooked)			[{'predicate': 'subClassOf', 'target': 'RyeKernel'}]		FOODON:00004380	A cooked rye kernel belongs to the broader category of RyeKernel.	0.0	0.0	0.0	0.0	0.0	0	0	1	0
AsparagusBean_raw_	asparagus bean (raw)			[{'predicate': 'subClassOf', 'target': 'AsparagusBean'}]		FOODON:00004350	A raw form of the asparagus bean, which refers to the long, slender pod of the Vigna unguiculata subsp. sesquipedalis plant.	0.0	0.0	0.0	0.0	0.0	0	0	1	0
HickoryNutFoodProduct	hickory nut food product	A food product which derives from a hickory cultivar (Carya) nut.		[{'predicate': 'subClassOf', 'target': 'NutFoodProduct'}]		FOODON:00004435	A hickory nut food product is a specific type of food item that falls under the broader category of nut food products.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
PinkShrimp_raw_	pink shrimp (raw)			[{'predicate': 'subClassOf', 'target': 'Shrimp_raw_'}]		FOODON:00004419		0.0	0.0	0.0	0.0	0.0	0	0	0	0
DragonFruit	dragon fruit	A fruit from the dragon fruit cactus (Selenicereus undatus).		[{'predicate': 'InTaxon', 'target': 'SelenicereusUndatus'}, {'predicate': 'subClassOf', 'target': 'PitayaFruit'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'BerryFruit'}, {'predicate': 'InTaxon', 'target': 'SelenicereusUndatus'}]	FOODON:00004385	A berry fruit derived from a cactus plant (Selenicereus undatus)	0.0	0.0	0.0	0.0	0.0	0	0	1	1
