# model_name: gpt-3.5-turbo
# embedding_model_name: 'openai:'
# generate_background: false
# task_started: '2023-09-03 17:27:20.388477'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_envo
# additional_collections: null
# num_training: null
# num_testing: 50
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_envo_training
#   testing_set_collection: ont_envo_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - definition
# report_path: null
# working_directory: results
# results: null
masked_id	feature_label	expected_definition	feature_aliases	feature_relationships	feature_logical_definition	masked_original_id	predicted_definition	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
Buoy	buoy	A manufactured product which floats in water and can be used a navigational marker among other purposes.		[{'predicate': 'subClassOf', 'target': 'ManufacturedProduct'}]		ENVO:03600085		0.0	0.0	0.0	0.0	0.0	0	0	0	1
PharmacyUnitFacility	pharmacy unit facility	A hospital unit facility which is used to provide pharmacy services.		[{'predicate': 'HasPart', 'target': 'Pharmacy'}, {'predicate': 'subClassOf', 'target': 'HospitalUnitFacility'}]		ENVO:03501171	A facility that provides pharmacy services.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
IntensiveCareUnitRoom	intensive care unit room	A room in which intensive medical care is provided.		[{'predicate': 'PartOf', 'target': 'IntensiveCareUnitFacility'}, {'predicate': 'subClassOf', 'target': 'Room'}]		ENVO:03501155	A room that is a part of an intensive care unit facility.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
Famine	famine	An environmental system process during which populations have reduced access to food, causing increased hunger, malnutrition, and consequent mortality.		[{'predicate': 'subClassOf', 'target': 'EnvironmentalSystemProcess'}]		ENVO:03510003	A process of extreme scarcity of food in a particular region or population.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
MassageTherapyClinic	massage therapy clinic	A medical clinic which is used to provide massage therapy services.		[{'predicate': 'subClassOf', 'target': 'MedicalClinic'}]		ENVO:03501187		0.0	0.0	0.0	0.0	0.0	0	0	0	1
FieldCapacity	field capacity	A concentration of liquid water in soil arrived at after water which is not retained by the soil has drained away.		[{'predicate': 'subClassOf', 'target': 'ConcentrationOfLiquidWaterInSoil'}]		ENVO:06105302	The maximum amount of water that a soil can hold against gravity.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
SwingBridge	swing bridge	A bridge which is movable and has a vertical locating pin as its primary structural support, and a support ring about which it can pivot horizontally.		[{'predicate': 'subClassOf', 'target': 'Bridge'}]		ENVO:03501250	swing bridge	0.0	0.0	0.0	0.0	0.0	0	0	1	1
IrradiationByIonizingRadiation	irradiation by ionizing radiation	Irradiation during which a material entity receives energy through ionizing radiation.		[{'predicate': 'HasPart', 'target': 'IonizingRadiation'}, {'predicate': 'subClassOf', 'target': 'Irradiation'}]		ENVO:01003015	The act or process of exposing to ionizing radiation.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
Pallet	pallet	A manufactured product which is a flat transport structure that supports goods in a stable fashion while being lifted and/or moved.		[{'predicate': 'subClassOf', 'target': 'ManufacturedProduct'}]		ENVO:03501268		0.0	0.0	0.0	0.0	0.0	0	0	0	1
PrisonFacility	prison facility	A human construction which is used to forcibly confine humans.		[{'predicate': 'ParticipatesIn', 'target': 'UsageOfAnEnvironmentForCommunityAndSocialServices'}, {'predicate': 'subClassOf', 'target': 'HumanConstruction'}]		ENVO:03501204	A facility used to confine and rehabilitate individuals who have been convicted of crimes.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
FoodProssessingNonProductionArea	food prossessing non-production area	A hygienic food production area which is not an immediate part of a food manufacturing process area.		[{'predicate': 'subClassOf', 'target': 'HygienicFoodProductionArea'}]		ENVO:03501319		0.0	0.0	0.0	0.0	0.0	0	0	0	1
PrivatePrison	private prison	A prison facility which is owned and operated by a private corporation.		[{'predicate': 'subClassOf', 'target': 'PrisonFacility'}]		ENVO:03501205	A prison facility that is privately owned and operated.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
Pharmacy	pharmacy	A healthcare facility which is used to prepare, dispense, or sell medical drugs.		[{'predicate': 'subClassOf', 'target': 'HealthcareFacility'}]		ENVO:03501193	A facility that provides pharmaceutical services	0.0	0.0	0.0	0.0	0.0	0	0	1	1
PlanetaryCryosphere	planetary cryosphere	A cryosphere which is part of a planet.		[{'predicate': 'PartOf', 'target': 'Planet'}, {'predicate': 'subClassOf', 'target': 'Cryosphere'}]		ENVO:03000144	A cryosphere which is part of a planet.	1.0	1.0	1.0	1.0	0.0	1	0	0	0
Utensil	utensil	A hand tool for domestic use, especially in the kitchen.		[{'predicate': 'subClassOf', 'target': 'HandTool'}]		ENVO:03501327		0.0	0.0	0.0	0.0	0.0	0	0	0	1
PetroleumOilRefinery	petroleum oil refinery	A refinery which is capable of processing petroleum oil.		[{'predicate': 'subClassOf', 'target': 'Refinery'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Refinery'}, {'predicate': 'CapableOf', 'target': '_:riog00017075'}]	ENVO:02000142	A facility that processes raw petroleum oil into various fuels and other products.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
WalkInClinic	walk-in clinic	A medical clinic which is used to provide services to walk-in patients.		[{'predicate': 'subClassOf', 'target': 'MedicalClinic'}]		ENVO:03501192	a type of medical clinic	0.0	0.0	0.0	0.0	0.0	0	0	1	1
Supermarket	supermarket	A self-service shop offering a wide variety of food, beverages and household products, organized into sections.		[{'predicate': 'subClassOf', 'target': 'FoodShop'}]		ENVO:03501290	A large self-service shop selling a wide variety of food and household products.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
