# model_name: nous-hermes-13b
# embedding_model_name: 'openai:'
# generate_background: false
# task_started: '2023-09-04 17:26:09.687176'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_hp
# additional_collections: null
# num_training: null
# num_testing: 50
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_hp_training
#   testing_set_collection: ont_hp_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - definition
# report_path: null
# working_directory: results
# results: null
masked_id	feature_label	expected_definition	feature_aliases	feature_relationships	feature_logical_definition	masked_original_id	predicted_definition	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
ElevatedCirculatingSSulfocysteineConcentration	Elevated circulating S-sulfocysteine concentration	Concentration of S-sulfocysteine in the blood circulation above the upper limit of normal.		[{'predicate': 'subClassOf', 'target': 'AbnormalCirculatingNonProteinogenicAminoAcidConcentration'}]		HP:0034745	An abnormally increased level of S-sulfocysteine in the blood circulation.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
ElevatedCirculatingDOPAConcentration	Elevated circulating DOPA concentration	Concentration of DOPA (3,4-dihydroxyphenylalanine) in the blood circulation above the upper limit of normal.		[{'predicate': 'subClassOf', 'target': 'AbnormalCirculatingMonocarboxylicAcidConcentration'}]		HP:0034604	An elevated plasma concentration of dihydroxyphenylalanine (DOPA).	0.0	0.0	0.0	0.0	0.0	0	0	1	1
AplasiaOfPosteriorCommunicatingArtery	Aplasia of posterior communicating artery	A developmental anomnaly characterized by the lack of development of the posterior communicating artery.		[{'predicate': 'subClassOf', 'target': 'AbnormalPosteriorCirculatingArteryMorphology'}]		HP:0034566	A developmental anomnaly characterized by underdevelopment of the posterior communicating artery.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
DecreasedUrineGuanidinoaceticAcidLevel	Decreased urine guanidinoacetic acid level	The concentration of guanidinoacetic acid in the urine, normalized for urine concentration, is below the lower limit of normal.		[{'predicate': 'subClassOf', 'target': 'IncreasedUrineProteinogenicAminoAcidDerivativeLevel'}]		HP:0034888	An elevated urine level of a compound that is derived from guanidinoacetic acid.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
ReducedEpidermalPlectinProteinExpression	Reduced epidermal plectin protein expression			[{'predicate': 'subClassOf', 'target': 'AbnormalEpidermalProteinExpression'}]		HP:0034580	Reduction in the level of epidermal proteins	0.0	0.0	0.0	0.0	0.0	0	0	1	0
EyelidPain	Eyelid pain	An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to the eyelid.		[{'predicate': 'subClassOf', 'target': 'Pain'}, {'predicate': 'subClassOf', 'target': 'AbnormalEyelidPhysiology'}]		HP:0034808	Pain localized to the eyelid.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
IrisNodule	Iris nodule	The presence of a nodule (small rounded lump of tissue) in the iris.		[{'predicate': 'subClassOf', 'target': 'AbnormalityIrisMorphology'}]		HP:0034819		0.0	0.0	0.0	0.0	0.0	0	0	0	1
DermalImmuneComplexDeposition	Dermal immune complex deposition	Accumulation of antigen-bound antibody in the skin.		[{'predicate': 'subClassOf', 'target': 'AbnormalityOfSkinMorphology'}]		HP:0034643	The presence of dermal immune complex deposits in the skin.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
ReducedAromataseActivity	Reduced aromatase activity	Enzyme activity of aromatase below the lower limit of normal.		[{'predicate': 'subClassOf', 'target': 'AbnormalAromataseActivity'}]		HP:0034700	Decreased activity of the enzyme aromatase, which is responsible for converting androgens to estrogen in women and men.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
ExacerbatedByPhenytoinExposure	Exacerbated by phenytoin exposure	Applied to a sign or symptom that is worsened by administration of phenytoin.		[{'predicate': 'subClassOf', 'target': 'AggravatedByExposureToMedication'}]		HP:4000132	Applied to a sign or symptom that is worsened by ingestion of phenytoin.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
AlteredLocationOfTheLongitudinalColumnInTheFibrousSheath	Altered location of the longitudinal column in the fibrous sheath	The fibrous sheath is a structure in the midpiece of the sperm flagellum surrounding the outer dense fibers. It comprises two longitudinal columns and tranverse ribs. In case of altered location of the longitudinal column in the fibrous sheath the symmetrical structure is lost, most commonly with the columns not being opposite to each other, which can be visualised by electron microscopy.		[{'predicate': 'subClassOf', 'target': 'AbnormalSpermTailMorphology'}]		HP:0034947	A structural abnormality where the sperm tail is not located correctly within the fibrous sheath.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
EntamoebaHistolyticaAntibodyPositiveInStool	Entamoeba histolytica antibody positive in stool	Demonstration of antibody directed against Entamoeba histolytica in stool.		[{'predicate': 'subClassOf', 'target': 'PositiveStoolInfectiousAgentTest'}]		HP:0034868	Identification of Entamoeba histolytica, a protozoan parasite that causes amoebic dysentery, in the stool.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
AmelioratedByThiamine	Ameliorated by thiamine	Applies to a sign or symptom that is improved or made more bearable by treatment with thiamine.		[{'predicate': 'subClassOf', 'target': 'AmelioratedByExposureToMedication'}]		HP:0034538	Applies to a sign or symptom that is improved or made more bearable by treatment with thiamine.	1.0	1.0	1.0	1.0	0.0	1	0	0	0
ReducedEpidermalKeratin14ProteinExpression	Reduced epidermal keratin 14 protein expression	Amount of keratin 14 in the epidermis below the lower limit of normal. The findiong is typically ascertained by immunofluorescent microscopy.		[{'predicate': 'subClassOf', 'target': 'ReducedEpidermalKeratinProteinExpression'}]		HP:0035003	A condition characterized by decreased levels of the epidermal keratin 14 protein.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
VeganDiet	Vegan diet	A history of following a vegan diet characterized by avoidance of food sourced from animals including meet, fish, and dairy products.		[{'predicate': 'subClassOf', 'target': 'NutritionHistory'}]		HP:4000172	A plant-based diet that excludes all animal products, including meat, dairy, eggs and honey.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
AbnormalKeratinocyteMorphology	Abnormal keratinocyte morphology	Any structural anomaly of the keratinocyte. The keratinocyte is the major cell type of the epidermis and is responsible for generating the protective barrier.		[{'predicate': 'subClassOf', 'target': 'AbnormalEpidermalMorphology'}]		HP:0034702	An abnormality in the shape or structure of keratinocytes, which are cells that make up the outermost layer of skin.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
BentSpermNeck	Bent sperm neck	Sharply angled insertion of the neck and midpiece into the head of a spermatozoon. This term applies if the proportion of spermatozoa with this feature is above the upper limit of normal.		[{'predicate': 'subClassOf', 'target': 'AbnormalSpermNeckMorphology'}]		HP:0034959	A structural abnormality in which the sperm neck is bent or curved.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
MedicationHistory	Medication history	Information about current or past medications taken by an individual.		[{'predicate': 'subClassOf', 'target': 'PastMedicalHistory'}]		HP:4000112	Medications taken by the patient during pregnancy	0.0	0.0	0.0	0.0	0.0	0	0	1	1
ReducedErythrocyteGlutathioneConcentration	Reduced erythrocyte glutathione concentration	Concentration of glutathione in red blood cells below the lower limit of normal. Glutathione (GSH) is an important redox active biomolecule critical in the maintenance and regulation of cellular and organismal health.		[{'predicate': 'subClassOf', 'target': 'AbnormalErythrocyteMetaboliteConcentration'}]		HP:0034738	This term refers to an inappropriate low level of glutathione, a potent antioxidant and detoxicant present in erythrocytes. Reduced concentration may result from increased oxidative stress or impaired synthesis.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
MuscleFiberGranulofilamentousInclusionBodies	Muscle fiber granulofilamentous inclusion bodies	The presence of inclusion bodies within the cytoplasm of muscle cells that contain a mxiture of granules and filaments.		[{'predicate': 'subClassOf', 'target': 'MuscleFiberInclusionBodies'}]		HP:0034635	Intracytoplasmic inclusions in myofibers composed of granules and filaments, possibly derived from membranous structures.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
FetalCytarabineExposure	Fetal cytarabine exposure	A history of exposure during pregnancy of the mother of a fetus or child to cytarabine.		[{'predicate': 'subClassOf', 'target': 'FetalExposureHistory'}]		HP:0034847	A history of fetal exposure to cytarabine.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
LipidLadenLymphNodeMacrophages	Lipid-laden lymph node macrophages	Lymph node with increased numbers of macrophages heavily laden with lipids.		[{'predicate': 'subClassOf', 'target': 'AbnormalLymphNodeCellComposition'}]		HP:0034583	The presence of lipid droplets within lymphatic system macrophages, which are typically found in adipose tissue.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
CalciumChannelBlockerExposure	Calcium channel blocker exposure	History of having taken a calcium channel blocker such as amlodipine, nicardipine, nifedipine, verapamil, or diltiazem.		[{'predicate': 'subClassOf', 'target': 'MedicationHistory'}]		HP:4000119	Present in the medical record as a medication taken by the patient, typically within the last year.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
AsymmetricalInsertionOfTheMidpieceIntoTheHead	Asymmetrical insertion of the midpiece into the head	Insertion of the neck and midpiece into the head of a spermatozoon on an axis that diverges from the midline axis of the spermatozoon head. This term applies if the proportion of spermatozoa with this defect is above the upper limit of normal.		[{'predicate': 'subClassOf', 'target': 'AbnormalSpermMidPieceMorphology'}]		HP:0034958	An abnormality in which one end of the sperm midpiece is inserted more deeply into the head than the other.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
TrachealRupture	Tracheal rupture	A break or tear in the trachea.		[{'predicate': 'subClassOf', 'target': 'AbnormalTrachealMorphology'}]		HP:0034531	Breakage (tear) of the trachea.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
MaternalHyperthyroidism	Maternal hyperthyroidism	The mother of a fetus or index patient has a history of hyperthyroidism during the corresponding pregnancy.		[{'predicate': 'subClassOf', 'target': 'PregnancyHistory'}]		HP:0034778	Maternal hyperthyroidism is a condition in which the thyroid gland produces excessive amounts of thyroid hormones. This can lead to an increased risk of certain complications during pregnancy, such as premature labor or low birth weight.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
ReducedEpidermalBullousPemphigoidAntigen1ProteinExpression	Reduced epidermal bullous pemphigoid antigen 1 protein expression	Lower than normal amount of bullous pemphigoid antigen 1 (BP230) in the epidermis.		[{'predicate': 'subClassOf', 'target': 'AbnormalEpidermalProteinExpression'}]		HP:0034576		0.0	0.0	0.0	0.0	0.0	0	0	0	1
SharkTeeth	Shark teeth	Eruption of permanent teeth behind deciduous (baby) teeth before they have fallen out, resulting in a double row of teeth. This phenomen is typically observed between the ages of 5 to 7 years.		[{'predicate': 'subClassOf', 'target': 'AbnormalityOfDentalEruption'}]		HP:4000168	"A developmental anomaly characterized by the delayed or absent eruption
of certain teeth, usually the deciduous dentition. It is often associated with other
developmental abnormalities."	0.0	0.0	0.0	0.0	0.0	0	0	1	1
PerivascularSmallIntestinalHyalineDeposition	Perivascular small intestinal hyaline deposition	Deposition of a largely amorphous hyaline (transparent and homogeneous) substance around blood vessels in the wall of the small intestine.		[{'predicate': 'subClassOf', 'target': 'AbnormalSmallIntestineMorphology'}]		HP:0034926		0.0	0.0	0.0	0.0	0.0	0	0	0	1
ReducedMuscleEnolaseActivity	Reduced muscle enolase activity	Diminished activity of the enzyme enolase in muscle tissue. The enzyme enolase catalyzes the interconversion of 2-phosphoglycerate and phosphoenolpyruvate. In adult human muscle, over 90% of enolase activity is accounted for by the beta-enolase subunit, the protein product of the ENO3 gene.		[{'predicate': 'subClassOf', 'target': 'AbnormalEnzymeActivityInMuscleTissue'}]		HP:0034633	A decrease in the level or activity of the enzyme enolase, usually measured in a muscle biopsy specimen.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
ElevatedCirculatingApolipoproteinEConcentration	Elevated circulating apolipoprotein E concentration	Concentration of apolipoprotein E above the upper limit of normal.		[{'predicate': 'subClassOf', 'target': 'IncreasedCirculatingApolipoproteinCirculation'}]		HP:0034912	An increase in the blood concentration of apolipoprotein E.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
AlternatingLaterality	Alternating laterality	Occuring on the left and right in succession. This term can refer to alternating sides of the body (e.g., Alternating hemiplegia) or alternative sides of the visual field (e.g., some migraine auras).		[{'predicate': 'subClassOf', 'target': 'Laterality'}]		HP:4000152	Alternation between right and left sided phenotypic abnormalities.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
DecreasedUrinaryNorepinephrineLevel	Decreased urinary norepinephrine level	The concentration of norepinephrine in the urine, normalized for urine concentration, is below the lower limit of normal.		[{'predicate': 'subClassOf', 'target': 'DecreasedUrinaryCatecholamineConcentration'}]		HP:0034875	A reduced concentration of norepinephrine in urine.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
DecreasedCirculatingNorepinephrineConcentration	Decreased circulating norepinephrine concentration	Concentration of norepinephrin in the blood circulation below the lower limit of normal.		[{'predicate': 'subClassOf', 'target': 'AbnormalCirculatingHormoneConcentration'}]		HP:0034874	An decreased level of norepinephrine in the blood.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
AbnormalKneeMorphology	Abnormal knee morphology	A structural abnormality of the knee joint or surrounding structures.		[{'predicate': 'subClassOf', 'target': 'AbnormalityOfTheKnee'}]		HP:0034669	Abnormality of the form, structure or size of the knee joint.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
AbnormalReteRidgeMorphology	Abnormal rete ridge morphology	"Abnormal structure of the rete ridges (also known as rete pegs), which are
downward projections of epithelium surrounding the connective tissue papillae in between the dermal papillae."		[{'predicate': 'subClassOf', 'target': 'AbnormalEpidermalMorphology'}]		HP:0034767	An abnormality in the structure of the rete ridges.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
ReducedLeukocyteSteroidSulfataseActivity	Reduced leukocyte steroid sulfatase activity	Concentration or activity of an arylsulfatase C as measured in leukocytes is below the limits of normal in the blood circulation.		[{'predicate': 'subClassOf', 'target': 'AbnormalLeukocyteEnzymeConcentrationOrActivity'}]		HP:0034862	An abnormally decreased amount of leukocyte steroid sulfatase activity.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
