# model_name: gpt-3.5-turbo
# embedding_model_name: 'openai:'
# generate_background: false
# task_started: '2023-09-04 15:50:41.392950'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_mp
# additional_collections: null
# num_training: null
# num_testing: 50
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_mp_training
#   testing_set_collection: ont_mp_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - label
# report_path: null
# working_directory: results
# results: null
masked_id	expected_label	feature_definition	feature_aliases	feature_relationships	feature_logical_definition	masked_original_id	predicted_label	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
AbnormalSpleenBCellFollicleNumber	abnormal spleen B cell follicle number	any anomaly in the number of areas of the white pulp where the affinity maturation of B cells and the generation of memory B cells and plasma cells occur		[{'predicate': 'subClassOf', 'target': 'AbnormalSpleenBCellFollicleMorphology'}]		MP:0014261	abnormal spleen white pulp area number	0.0	0.0	0.0	0.0	0.0	0	0	1	1
DecreasedInternalDiameterOfTibia	decreased internal diameter of tibia	reduced cross-sectional distance that extends from one lateral edge of the tibia long bone marrow cavity, through its center and to the opposite lateral edge of the bone marrow cavity through the mid point of the tibia		[{'predicate': 'subClassOf', 'target': 'AbnormalTibiaMorphology'}, {'predicate': 'subClassOf', 'target': 'AbnormalLongBoneInternalDiameter'}]		MP:0014292	decreased diameter of tibia	0.0	0.0	0.0	0.0	0.0	0	0	1	1
AbnormalUrineXanthineLevel	abnormal urine xanthine level	any anomaly in the amount in the urine of xanthine (2,6-dihydroxypurine), a purine that is formed in the metabolic breakdown of guanine but is not present in nucleic acids		[{'predicate': 'subClassOf', 'target': 'AbnormalUrineHomeostasis'}]		MP:0031480	abnormal urine xanthine level	1.0	1.0	1.0	1.0	0.0	1	0	0	0
AbnormalSpontaneousFetalMouthMovement	abnormal spontaneous fetal mouth movement	any anomaly in the spontaneous neuromuscular movements of the mandible and tongue prior to birth		[{'predicate': 'subClassOf', 'target': 'AbnormalStationaryMovement'}, {'predicate': 'subClassOf', 'target': 'AbnormalPrenatalMovement'}]		MP:0031464	abnormal prenatal mandibular and tongue movements	0.0	0.0	0.0	0.0	0.0	0	0	1	1
DecreasedRespiration	decreased respiration	decrease in the movement of gases into and out of the lung		[{'predicate': 'subClassOf', 'target': 'AbnormalRespiration'}]		MP:0014274	decreased respiration	1.0	1.0	1.0	1.0	0.0	1	0	0	0
DisorganizedRetinaNerveFiberLayer	disorganized retina nerve fiber layer	derangement of the normal pattern of the retinal layer formed by expansion of the fibers of the optic nerve		[{'predicate': 'subClassOf', 'target': 'AbnormalRetinaNerveFiberLayerMorphology'}]		MP:0014250	disorganized optic nerve fiber layer	0.0	0.0	0.0	0.0	0.0	0	0	1	1
DecreasedCirculatingXanthineLevel	decreased circulating xanthine level	a reduced amount of xanthine in the blood compared to the normal state		[{'predicate': 'subClassOf', 'target': 'AbnormalCirculatingXanthineLevel'}]		MP:0031489	decreased circulating xanthine level	1.0	1.0	1.0	1.0	0.0	1	0	0	0
DecreasedSexGlandSecretion	decreased sex gland secretion	a reduction in the production and/or release of hormones from a cell or a gland of the reproductive system		[{'predicate': 'subClassOf', 'target': 'AbnormalSexGlandSecretion'}]		MP:0014267	reduced sex gland secretion	0.0	0.0	0.0	0.0	0.0	0	0	1	1
OpenMouth	open mouth	abnormal presence of a permanently or nearly permanently opened mouth		[{'predicate': 'subClassOf', 'target': 'AbnormalMouthShape'}]		MP:0031502	open mouth	1.0	1.0	1.0	1.0	0.0	1	0	0	0
IncreasedSexGlandSecretion	increased sex gland secretion	an increase in the production and/or release of hormones from a cell or a gland of the reproductive system		[{'predicate': 'subClassOf', 'target': 'AbnormalSexGlandSecretion'}]		MP:0014268	abnormal sex gland secretion	0.0	0.0	0.0	0.0	0.0	0	0	1	1
