# model_name: gpt-3.5-turbo
# embedding_model_name: 'openai:'
# generate_background: false
# task_started: '2023-09-20 20:12:18.855573'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_mondo
# additional_collections: null
# num_training: null
# num_testing: 50
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_mondo_training
#   testing_set_collection: ont_mondo_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - logical_definition
# report_path: null
# working_directory: results
# results: null
id	label	definition	aliases	relationships	logical_definition	original_id	masked_id	feature_label	feature_definition	feature_aliases	feature_relationships	expected_logical_definition	masked_original_id	predicted_logical_definition	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
							XLinkedIntellectualDisabilityDueToGRIA3Anomalies	X-linked intellectual disability due to GRIA3 anomalies			[{'predicate': 'subClassOf', 'target': 'CongenitalNervousSystemDisorder'}, {'predicate': 'subClassOf', 'target': 'MultipleCongenitalAnomaliesDysmorphicSyndromeIntellectualDisability'}, {'predicate': 'subClassOf', 'target': 'XLinkedSyndromicIntellectualDisability'}]		MONDO:0018222	[{'predicate': 'rdfs:subClassOf', 'target': 'MultipleCongenitalAnomaliesDysmorphicSyndromeIntellectualDisability'}, {'predicate': 'HasCharacteristic', 'target': 'XLinkedInheritance'}, {'predicate': 'PredisposesTowards', 'target': 'IntellectualDisability'}, {'predicate': 'HasMaterialBasisInGermlineMutationIn', 'target': 'GRIA3'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							SyndromicBiliaryAtresia	syndromic biliary atresia			[{'predicate': 'subClassOf', 'target': 'SyndromicDisease'}, {'predicate': 'subClassOf', 'target': 'BiliaryAtresia_MONDO:0008867'}]		MONDO:0034661		0.0	0.0	0.0	0.0	0.0	0	0	0	0
							LethalMultipleCongenitalAnomaliesDysmorphicSyndrome	lethal multiple congenital anomalies/dysmorphic syndrome			[{'predicate': 'subClassOf', 'target': 'MultipleCongenitalAnomaliesDysmorphicSyndrome'}]		MONDO:0018731	[{'predicate': 'rdfs:subClassOf', 'target': 'MultipleCongenitalAnomaliesDysmorphicSyndrome'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							FatalInfantileHypertrophicCardiomyopathyDueToMitochondrialComplexIDeficiency	fatal infantile hypertrophic cardiomyopathy due to mitochondrial complex I deficiency			[{'predicate': 'subClassOf', 'target': 'HypertrophicCardiomyopathy'}]		MONDO:0017336		0.0	0.0	0.0	0.0	0.0	0	0	0	0
							InheritedSkinTumor	inherited skin tumor			[{'predicate': 'HasCharacteristic', 'target': 'Rare'}, {'predicate': 'subClassOf', 'target': 'SkinNeoplasm'}, {'predicate': 'subClassOf', 'target': 'HereditarySkinDisorder'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Neoplasm_MONDO:0005070'}, {'predicate': 'HasCharacteristic', 'target': 'Inherited'}, {'predicate': 'DiseaseHasLocation', 'target': 'ZoneOfSkin'}]	MONDO:0015950	[{'predicate': 'rdfs:subClassOf', 'target': 'SkinNeoplasm'}, {'predicate': 'HasCharacteristic', 'target': 'Inherited'}]	0.5	0.3333333333333333	0.4	0.25	0.0	1	0	1	2
							LeukoencephalopathyWithVanishingWhiteMatter	leukoencephalopathy with vanishing white matter	A new leukoencephalopathy, the CACH syndrome (Childhood Ataxia with Central nervous system Hypomyelination) or VWM (Vanishing White Matter) was identified on clinical and MRI criteria. Classically, this disease is characterized by (1) an onset between 2 and 5 years of age, with a cerebello-spastic syndrome exacerbated by episodes of fever or head trauma leading to death after 5 to 10 years of disease evolution, (2) a diffuse involvement of the white matter on cerebral MRI with a CSF-like signal intensity (cavitation), (3) a recessive autosomal mode of inheritance, (4) neuropathologic findings consistent with a cavitating orthochromatic leukodystrophy with increased number of oligodendrocytes with sometimes ``foamy'' aspect.		[{'predicate': 'subClassOf', 'target': 'Leukodystrophy'}]		MONDO:0011380	[{'predicate': 'rdfs:subClassOf', 'target': 'Leukodystrophy'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							SynapticCongenitalMyasthenicSyndrome	synaptic congenital myasthenic syndrome			[{'predicate': 'subClassOf', 'target': 'CongenitalMyasthenicSyndrome'}]		MONDO:0020346		0.0	0.0	0.0	0.0	0.0	0	0	0	0
							AutosomalRecessiveComplexSpasticParaplegia	autosomal recessive complex spastic paraplegia	Autosomal recessive form of complex hereditary spastic paraplegia.		[{'predicate': 'subClassOf', 'target': 'AutosomalRecessiveDisease'}, {'predicate': 'subClassOf', 'target': 'ComplexHereditarySpasticParaplegia'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'ComplexHereditarySpasticParaplegia'}, {'predicate': 'HasCharacteristic', 'target': 'AutosomalRecessiveInheritance'}]	MONDO:0015089	[{'predicate': 'rdfs:subClassOf', 'target': 'ComplexHereditarySpasticParaplegia'}, {'predicate': 'HasCharacteristic', 'target': 'AutosomalRecessiveInheritance'}]	1.0	1.0	1.0	1.0	0.0	2	0	0	0
							SyndromicCornealDystrophy	syndromic corneal dystrophy	A corneal dystrophy (disease) that is part of a larger syndrome.		[{'predicate': 'subClassOf', 'target': 'SyndromicDisease'}, {'predicate': 'subClassOf', 'target': 'CornealDystrophy'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'CornealDystrophy'}, {'predicate': 'HasCharacteristic', 'target': 'HasASyndromicPresentation'}]	MONDO:0020215	[{'predicate': 'rdfs:subClassOf', 'target': 'CornealDystrophy'}, {'predicate': 'HasCharacteristic', 'target': 'SyndromicCharacteristic'}]	0.5	0.5	0.5	0.3333333333333333	0.0	1	0	1	1
							AutosomalRecessiveLymphoproliferativeDisease	autosomal recessive lymphoproliferative disease	A rare combined T and B cell immunodeficiency with a predisposition to lymphoproliferative syndrome. It is characterized by persistent symptomatic EBV-viremia and hypogammaglobulinemia variably presenting with fever, lymphadenopathy and systemic inflammatory conditions including hepatitis, pneumonia and sepsis. It may be associated with lymphoma, hemophagocytic lymphohistiocytosis, and aplastic anemia.		[{'predicate': 'subClassOf', 'target': 'LymphoproliferativeSyndrome'}]		MONDO:0016536	[{'predicate': 'rdfs:subClassOf', 'target': 'LymphoproliferativeSyndrome'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							Acrokeratoderma	acrokeratoderma			[{'predicate': 'subClassOf', 'target': 'EpidermalDisease'}]		MONDO:0019271	[{'predicate': 'rdfs:subClassOf', 'target': 'EpidermalDisease'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							AnomalyOfPubertyOrAndMenstrualCycle	anomaly of puberty or/and menstrual cycle			[{'predicate': 'subClassOf', 'target': 'FemaleReproductiveSystemDisorder'}]		MONDO:0015860	[{'predicate': 'rdfs:subClassOf', 'target': 'FemaleReproductiveSystemDisorder'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							AcrodysostosisWithMultipleHormoneResistance	acrodysostosis with multiple hormone resistance			[{'predicate': 'subClassOf', 'target': 'Polyendocrinopathy'}, {'predicate': 'subClassOf', 'target': 'MandibulofacialDysostosis'}, {'predicate': 'subClassOf', 'target': 'AcrofacialDysostosis'}, {'predicate': 'subClassOf', 'target': 'HereditaryOtorhinolaryngologicDisease'}]		MONDO:0017240	[{'predicate': 'rdfs:subClassOf', 'target': 'Polyendocrinopathy_MONDO:0013157'}, {'predicate': 'rdfs:subClassOf', 'target': 'MandibulofacialDysostosises_MONDO:0045033'}, {'predicate': 'rdfs:subClassOf', 'target': 'AcrofacialDysostosis_MONDO:0001614'}, {'predicate': 'rdfs:subClassOf', 'target': 'HereditaryOtorhinolaryngologicDisease_MONDO:0011452'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							46XXDisorderOfSexDevelopmentInducedByMaternalDerivedAndrogen	46,XX disorder of sex development induced by maternal-derived androgen			[{'predicate': 'subClassOf', 'target': '46XXDisorderOfSexDevelopmentInducedByAndrogensExcess'}]		MONDO:0019608	[{'predicate': 'rdfs:subClassOf', 'target': '46XXDisorderOfSexDevelopmentInducedByAndrogensExcess'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							CapMyopathy2	cap myopathy 2			[{'predicate': 'subClassOf', 'target': 'CapMyopathy'}]		MONDO:0800342	[{'predicate': 'rdfs:subClassOf', 'target': 'Myopathy'}, {'predicate': 'DiseaseHasAbnormality', 'target': 'CapStructure'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							IntestinalDiseaseDueToVitaminAbsorptionAnomaly	intestinal disease due to vitamin absorption anomaly			[{'predicate': 'HasCharacteristic', 'target': 'Rare'}, {'predicate': 'DiseaseHasBasisInDisruptionOf', 'target': 'IntestinalAbsorption'}, {'predicate': 'DiseaseHasBasisInDisruptionOf', 'target': 'VitaminTransport'}, {'predicate': 'subClassOf', 'target': 'MalabsorptionSyndrome'}]		MONDO:0015179	[{'predicate': 'rdfs:subClassOf', 'target': 'MalabsorptionSyndrome'}, {'predicate': 'HasCharacteristic', 'target': 'Rare'}, {'predicate': 'DiseaseHasBasisInDisruptionOf', 'target': 'IntestinalAbsorption'}, {'predicate': 'DiseaseHasBasisInDisruptionOf', 'target': 'VitaminTransport'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							AggressivePrimaryCutaneousBCellLymphoma	aggressive primary cutaneous B-cell lymphoma			[{'predicate': 'subClassOf', 'target': 'ImmuneSystemCancer'}, {'predicate': 'subClassOf', 'target': 'PrimaryCutaneousBCellLymphoma'}, {'predicate': 'subClassOf', 'target': 'AggressiveBCellNonHodgkinLymphoma'}]		MONDO:0015818	[{'predicate': 'rdfs:subClassOf', 'target': 'PrimaryCutaneousBCellLymphoma'}, {'predicate': 'SubClassOf', 'target': 'AggressiveBCellNonHodgkinLymphoma'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							TeratogenicPierreRobinSyndrome	teratogenic Pierre Robin syndrome			[{'predicate': 'subClassOf', 'target': 'DisorderOfDevelopmentOrMorphogenesis'}, {'predicate': 'subClassOf', 'target': 'OtorhinolaryngologicDisease'}]		MONDO:0015323		0.0	0.0	0.0	0.0	0.0	0	0	0	0
							AutosomalRecessiveSpasticParaplegiaType85	autosomal recessive spastic paraplegia type 85			[{'predicate': 'subClassOf', 'target': 'AutosomalRecessiveComplexSpasticParaplegia'}]		MONDO:0858990	[{'predicate': 'rdfs:subClassOf', 'target': 'AutosomalRecessiveComplexSpasticParaplegia'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							ProgressiveMyoclonicEpilepsyWithNeuroserpinInclusionBodies	progressive myoclonic epilepsy with neuroserpin inclusion bodies			[{'predicate': 'subClassOf', 'target': 'ProgressiveMyoclonusEpilepsy'}]		MONDO:0035160	[{'predicate': 'rdfs:subClassOf', 'target': 'ProgressiveMyoclonusEpilepsy'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							NeuronalTumor	neuronal tumor			[{'predicate': 'HasCharacteristic', 'target': 'Rare'}, {'predicate': 'subClassOf', 'target': 'NeuroepithelialNeoplasm'}]		MONDO:0016726	[{'predicate': 'rdfs:subClassOf', 'target': 'NeuroepithelialNeoplasm'}, {'predicate': 'HasCharacteristic', 'target': 'Rare'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							EyelidBorderAnomaly	eyelid border anomaly			[{'predicate': 'subClassOf', 'target': 'EyelidDisorder'}]		MONDO:0020155	[{'predicate': 'rdfs:subClassOf', 'target': 'EyelidDisorder'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							CongenitalMuscularDystrophyWithCerebellarInvolvement	congenital muscular dystrophy with cerebellar involvement			[{'predicate': 'subClassOf', 'target': 'DisorderOfOMannosylglycanSynthesis'}, {'predicate': 'subClassOf', 'target': 'MuscularDystrophyDystroglycanopathy'}]		MONDO:0018277	[{'predicate': 'rdfs:subClassOf', 'target': 'MuscularDystrophyDystroglycanopathy'}, {'predicate': 'rdfs:subClassOf', 'target': 'DisorderOfOMannosylglycanSynthesis'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							RetinalCiliopathyDueToMutationInTheRPGRGene	retinal ciliopathy due to mutation in the RPGR gene			[{'predicate': 'subClassOf', 'target': 'RetinalCiliopathy'}, {'predicate': 'subClassOf', 'target': 'RPGRRelatedRetinopathy'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'RetinalCiliopathy'}, {'predicate': 'HasMaterialBasisInGermlineMutationIn', 'target': 'RPGR'}]	MONDO:0022399		0.0	0.0	0.0	0.0	0.0	0	0	0	1
							InheritedDigestiveTractTumor	inherited digestive tract tumor			[{'predicate': 'HasCharacteristic', 'target': 'Rare'}, {'predicate': 'DiseaseHasLocation', 'target': 'DigestiveTract'}, {'predicate': 'subClassOf', 'target': 'HereditaryDisease'}, {'predicate': 'subClassOf', 'target': 'DigestiveSystemNeoplasm'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Neoplasm_MONDO:0005070'}, {'predicate': 'HasCharacteristic', 'target': 'Inherited'}, {'predicate': 'DiseaseHasLocation', 'target': 'DigestiveTract'}]	MONDO:0017128	[{'predicate': 'rdfs:subClassOf', 'target': 'HereditaryDisease'}, {'predicate': 'DiseaseHasLocation', 'target': 'DigestiveTract'}, {'predicate': 'DiseaseHasLocation', 'target': 'AlimentaryPartOfGastrointestinalSystem'}]	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.2	0.0	1	0	2	2
							SyndromicGeneticObesity	syndromic genetic obesity			[{'predicate': 'subClassOf', 'target': 'SyndromicDisease'}, {'predicate': 'subClassOf', 'target': 'OvergrowthObesitySyndrome'}, {'predicate': 'subClassOf', 'target': 'InheritedObesity'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'InheritedObesity'}, {'predicate': 'HasCharacteristic', 'target': 'HasASyndromicPresentation'}]	MONDO:0016565	[{'predicate': 'rdfs:subClassOf', 'target': 'SyndromicDisease'}, {'predicate': 'rdfs:subClassOf', 'target': 'OvergrowthObesitySyndrome'}, {'predicate': 'rdfs:subClassOf', 'target': 'InheritedObesity'}]	0.3333333333333333	0.5	0.4	0.25	0.0	1	0	2	1
							CongenitalAbsenceHypoplasiaOfFingersExcludingThumb	congenital absence/hypoplasia of fingers excluding thumb			[{'predicate': 'subClassOf', 'target': 'AdactylyOfHand'}]		MONDO:0017448	[{'predicate': 'rdfs:subClassOf', 'target': 'AdactylyOfHand'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							PrimaryPeritonealTumor	primary peritoneal tumor			[{'predicate': 'HasCharacteristic', 'target': 'Rare'}, {'predicate': 'subClassOf', 'target': 'Neoplasm_MONDO:0005070'}]		MONDO:0015682	[{'predicate': 'rdfs:subClassOf', 'target': 'Neoplasm_MONDO:0005070'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							46XXDisorderOfSexDevelopmentInducedByAndrogensExcess	46,XX disorder of sex development induced by androgens excess			[{'predicate': 'subClassOf', 'target': '46XXDisorderOfSexDevelopment'}]		MONDO:0020039	[{'predicate': 'rdfs:subClassOf', 'target': '46XXDisorderOfSexDevelopment'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							RetinalCiliopathyDueToMutationInUsherGene	retinal ciliopathy due to mutation in Usher gene			[{'predicate': 'subClassOf', 'target': 'RetinalCiliopathy'}]		MONDO:0022404		0.0	0.0	0.0	0.0	0.0	0	0	0	0
							AlphaCrystallinopathy	alpha-crystallinopathy			[{'predicate': 'subClassOf', 'target': 'CongenitalNervousSystemDisorder'}, {'predicate': 'subClassOf', 'target': 'QualitativeOrQuantitativeDefectsOfAlphaBCristallin'}, {'predicate': 'subClassOf', 'target': 'MyofibrillarMyopathy'}]		MONDO:0020343	[{'predicate': 'rdfs:subClassOf', 'target': 'CongenitalNervousSystemDisorder'}, {'predicate': 'HasCharacteristic', 'target': 'QualitativeOrQuantitativeDefectsOfAlphaBCristallin'}, {'predicate': 'HasCharacteristic', 'target': 'MyofibrillarMyopathy'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							RespiratoryMalformation	respiratory malformation			[{'predicate': 'subClassOf', 'target': 'RespiratoryOrThoracicMalformation'}]		MONDO:0015930	[{'predicate': 'rdfs:subClassOf', 'target': 'RespiratoryOrThoracicMalformation'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							TranspositionOfTheGreatArteriesAndConotruncalCardiacAnomaly	transposition of the great arteries and conotruncal cardiac anomaly			[{'predicate': 'DiseaseHasMajorFeature', 'target': 'TranspositionOfTheGreatArteries'}, {'predicate': 'DiseaseHasMajorFeature', 'target': 'ConotruncalDefect'}, {'predicate': 'subClassOf', 'target': 'CongenitalHeartMalformation'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Disease'}, {'predicate': 'DiseaseHasMajorFeature', 'target': 'TranspositionOfTheGreatArteries'}, {'predicate': 'DiseaseHasMajorFeature', 'target': 'ConotruncalDefect'}]	MONDO:0020285	[{'predicate': 'DiseaseHasMajorFeature', 'target': 'TranspositionOfTheGreatArteries'}, {'predicate': 'DiseaseHasMajorFeature', 'target': 'ConotruncalDefect'}]	1.0	0.6666666666666666	0.8	0.6666666666666666	0.0	2	0	0	1
							SyndromicUrogenitalTractMalformation	syndromic urogenital tract malformation	A urogenital tract malformation that is part of a larger syndrome.		[{'predicate': 'subClassOf', 'target': 'SyndromicDisease'}, {'predicate': 'subClassOf', 'target': 'UrogenitalTractMalformation'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'UrogenitalTractMalformation'}, {'predicate': 'HasCharacteristic', 'target': 'HasASyndromicPresentation'}]	MONDO:0015620	[{'predicate': 'rdfs:subClassOf', 'target': 'SyndromicDisease'}, {'predicate': 'rdfs:subClassOf', 'target': 'UrogenitalTractMalformation'}]	0.5	0.5	0.5	0.3333333333333333	0.0	1	0	1	1
							InbornDisorderOfGlycerolMetabolism	inborn disorder of glycerol metabolism	An inherited metabolic disease that is has its basis in the disruption of glycerol metabolic process.		[{'predicate': 'subClassOf', 'target': 'InbornCarbohydrateMetabolicDisorder'}, {'predicate': 'subClassOf', 'target': 'GlycerolMetabolismDisease'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'InbornErrorsOfMetabolism'}, {'predicate': 'DiseaseHasBasisInDisruptionOf', 'target': 'GlycerolMetabolicProcess'}]	MONDO:0019227	[{'predicate': 'rdfs:subClassOf', 'target': 'InbornCarbohydrateMetabolicDisorder'}, {'predicate': 'DiseaseHasBasisInDisruptionOf', 'target': 'GlycerolMetabolicProcess'}]	0.5	0.5	0.5	0.3333333333333333	0.0	1	0	1	1
							QualitativeOrQuantitativeDefectsOfMyotilin	qualitative or quantitative defects of myotilin			[{'predicate': 'HasMaterialBasisInGermlineMutationIn', 'target': 'MYOT'}, {'predicate': 'subClassOf', 'target': 'QualitativeOrQuantitativeProteinDefectsInNeuromuscularDiseases'}]		MONDO:0016201	[{'predicate': 'rdfs:subClassOf', 'target': 'Disease'}, {'predicate': 'HasMaterialBasisInGermlineMutationIn', 'target': 'MYOT'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							SyndromicHypothyroidism	syndromic hypothyroidism	A hypothyroidism that is part of a larger syndrome.		[{'predicate': 'subClassOf', 'target': 'SyndromicDisease'}, {'predicate': 'subClassOf', 'target': 'PermanentCongenitalHypothyroidism'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Hypothyroidism'}, {'predicate': 'HasCharacteristic', 'target': 'HasASyndromicPresentation'}]	MONDO:0015778	[{'predicate': 'rdfs:subClassOf', 'target': 'PermanentCongenitalHypothyroidism'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	2
							AnomalyOfTheSecretoryAndExcretoryApparatusOfTheLacrimalSystem	anomaly of the secretory and excretory apparatus of the lacrimal system			[{'predicate': 'HasCharacteristic', 'target': 'Rare'}, {'predicate': 'subClassOf', 'target': 'LacrimalApparatusDisorder'}]		MONDO:0020196	[{'predicate': 'rdfs:subClassOf', 'target': 'Disorder'}, {'predicate': 'HasCharacteristic', 'target': 'Rare'}, {'predicate': 'DiseaseHasLocation', 'target': 'LacrimalSystem'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
							DisorderOfKetoneBodyTransport	disorder of ketone body transport			[{'predicate': 'subClassOf', 'target': 'DisorderOfFattyAcidAndKetoneBodyMetabolism'}]		MONDO:0018579	[{'predicate': 'rdfs:subClassOf', 'target': 'DisorderOfFattyAcidAndKetoneBodyMetabolism'}]	0.0	0.0	0.0	0.0	0.0	0	0	1	0
