# model_name: gpt-3.5-turbo
# embedding_model_name: 'openai:'
# generate_background: true
# task_started: '2023-08-30 09:17:43.948411'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_cl
# num_training: null
# num_testing: 50
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_cl_training
#   testing_set_collection: ont_cl_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - definition
# report_path: null
# working_directory: results
# results: null
masked_id	feature_label	expected_definition	feature_aliases	feature_relationships	feature_logical_definition	masked_original_id	predicted_definition	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
LungMigratoryDendriticCell	lung migratory dendritic cell	A dendritic cell that captures antigens in a lung and migrates to a lymph node or to the spleen to activate T cells.		[{'predicate': 'subClassOf', 'target': 'DendriticCell'}]		CL:4033045	A specialized type of dendritic cell that plays a crucial role in immune responses within the lungs. It is classified as a subclass of dendritic cells.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
ONBlueConeBipolarCell	ON-blue cone bipolar cell	An ON bipolar cell type with dendrites selectively contacting S-cones.		[{'predicate': 'subClassOf', 'target': 'ONBipolarCell'}]		CL:4033019	A specific type of ON bipolar cell found in the retina of the eye that is involved in the processing of blue light stimuli. It receives input from blue cone photoreceptor cells and transmits blue light information to other cells in the visual system.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
DiffuseBipolar3aCell	diffuse bipolar 3a cell	An OFF calbindin-positive bipolar cell that has a large dendritic field and stratifies narrowly close to the middle of the inner plexiform layer. Its axon terminal is characterized by regularly branching and varicose processes resembling beads on a string. Most of DB3a contacts with cones are triad-associated.		[{'predicate': 'subClassOf', 'target': 'OFFBipolarCell'}]		CL:4033029	A specific subtype of OFF Bipolar Cells characterized by its extensive dendrites and involvement in the processing of visual information related to decreases in light intensity.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
EarlySpermatid	early spermatid	A spermatid in an early stage of maturation that has a round morphology and is transcriptionally active.		[{'predicate': 'PartOf', 'target': 'MaleReproductiveSystem'}, {'predicate': 'CapableOf', 'target': 'SpermatidDevelopment'}, {'predicate': 'subClassOf', 'target': 'Spermatid'}]		CL:4030036	An immature male germ cell that undergoes a series of developmental stages before maturing into a fully functional sperm cell.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
AirwaySubmucosalGlandDuctBasalCell	airway submucosal gland duct basal cell	A basal cell that is part of a duct of an airway submucosal gland.		[{'predicate': 'PartOf', 'target': 'AirwaySubmucosalGland'}, {'predicate': 'subClassOf', 'target': 'BasalCell'}]		CL:4033024	A basal cell found within the ducts of the airway submucosal gland.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
PerichondrialFibroblast	perichondrial fibroblast	A fibroblast that is part of the fibrous layer of the perichondrium. This cell is responsible for collagen fiber production.		[{'predicate': 'PartOf', 'target': 'OuterFibrousLayerOfPerichondrium'}, {'predicate': 'subClassOf', 'target': 'Fibroblast'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'Fibroblast'}, {'predicate': 'PartOf', 'target': 'OuterFibrousLayerOfPerichondrium'}]	CL:4033025	Any fibroblast that is part of the outer fibrous layer of the perichondrium.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
InvaginatingMidgetBipolarCell	invaginating midget bipolar cell	An ON bipolar cell with a small dendritic tree that forms most of the central (invaginating) elements opposite the synaptic ribbon at the cone triad.		[{'predicate': 'subClassOf', 'target': 'ONBipolarCell'}]		CL:4033034	A specific type of bipolar cell found in the retina of the human eye. It receives input from cone photoreceptor cells and forms dendritic invaginations into the cone pedicle. It is involved in transmitting visual information from photoreceptors to ganglion cells in the retina.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
EccentricMediumSpinyNeuron	eccentric medium spiny neuron	A medium spiny neuron that exhibits transcriptional divergence from direct and indirect spiny projection neurons, for example, enrichment in Casz1, Otof, Cacng5 and Pcdh8 noted in mice. Whilst in general medium spiny neurons have been found to be differentially distributed across the basal ganglia, the eccentric medium spiny neuron cell type has been found to be more evenly distributed throughout cerebral nuclei.		[{'predicate': 'subClassOf', 'target': 'MediumSpinyNeuron'}]		CL:4030057	A subtype of the medium spiny neuron characterized by its unique eccentricity within the striatum, involved in motor control and reward processing.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
D1D2HybridMediumSpinyNeuron	D1/D2-hybrid medium spiny neuron	A medium spiny neuron that expresses both DRD1 and DRD2 and is part of an extra-striosomal part of dorsal striatum.		[{'predicate': 'HasSomaLocation', 'target': 'DorsalStriatum'}, {'predicate': 'Expresses', 'target': 'D1A_dopamineReceptor'}, {'predicate': 'Expresses', 'target': 'D2_dopamineReceptor'}, {'predicate': 'subClassOf', 'target': 'MediumSpinyNeuron'}]		CL:4030050	A medium spiny neuron that expresses both D1A dopamine receptor and D2 dopamine receptor and has its soma located in the Dorsal Striatum.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
MetallothioneinPositiveAlveolarMacrophage	metallothionein-positive alveolar macrophage	An alveolar macrophage that expresses metallothionein.		[{'predicate': 'subClassOf', 'target': 'AlveolarMacrophage'}]		CL:4033042	An alveolar macrophage that expresses metallothionein proteins within its cellular environment. Metallothionein-positive alveolar macrophages possess all the general characteristics and functions of alveolar macrophages, with the added ability to regulate metal ions, detoxify heavy metals, protect against oxidative stress, and modulate immune responses.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
