# model_name: gpt-4
# embedding_model_name: 'openai:'
# generate_background: true
# task_started: '2023-09-04 13:14:10.110844'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_foodon
# additional_collections:
# - gh_foodon
# num_training: null
# num_testing: 50
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_foodon_training
#   testing_set_collection: ont_foodon_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - definition
# report_path: null
# working_directory: results
# results: null
masked_id	feature_label	expected_definition	feature_aliases	feature_relationships	feature_logical_definition	masked_original_id	predicted_definition	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
PignutHickoryNut	pignut hickory nut	A whole hickory nut from a pignut hickory tree (Carya glabra).		[{'predicate': 'InTaxon', 'target': 'CaryaGlabra'}, {'predicate': 'subClassOf', 'target': 'HickoryNut'}, {'predicate': 'subClassOf', 'target': 'CaryopsisFruit'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'CaryopsisFruit'}, {'predicate': 'InTaxon', 'target': 'CaryaGlabra'}]	FOODON:00004448	A Caryopsis fruit of a pignut hickory (Carya Glabra), which is also a type of hickory nut.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
GreekYogurt	greek yogurt			[{'predicate': 'subClassOf', 'target': 'StrainedYogurt'}]		FOODON:00004409	A type of yogurt known for its unique preparation process which involves the removal of whey through straining, resulting in a higher protein content compared to regular yogurt. Its flavor profile is distinct, often described as tangy or tart, and it is highly versatile, used in both sweet and savory dishes. It is considered an essential ingredient in many Mediterranean dishes.	0.0	0.0	0.0	0.0	0.0	0	0	1	0
TurkeyMeat_ground_sauteed_	turkey meat (ground, sauteed)	Ground turkey meat which has been sauteed.		[{'predicate': 'subClassOf', 'target': 'TurkeyMeatFoodProduct'}]		FOODON:00004417	The label 'turkey meat (ground, sauteed)' refers to a specific preparation of turkey meat which involves it being minced or ground, then sautéed, typically cooked at high heat with a small amount of fat. The cooking process infuses the turkey meat with a browned, sometimes crispy texture and enhanced flavor. This preparation method is often used for dishes such as tacos, casserole, spaghetti sauce, or chili. Ground, sauteed turkey meat is known for being a leaner, healthier meat option, often used as a substitute for ground beef in numerous recipes. As a subClassOf 'TurkeyMeatFoodProduct', this type of food product is one of the many possible ways in which turkey meat as a food product can be prepared and consumed. It shares properties with other turkey meat food products such as being a source of high-quality protein, vitamins and minerals, but differs in its specific taste, texture, and cooking method.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
Raw	raw	A characteristic of an animal, plant, fungi or algae, or a substantial piece thereof, which has not had material processing done to it that affects its biochemical composition.		[{'predicate': 'subClassOf', 'target': 'FoodObjectQuality'}]		FOODON:00004348		0.0	0.0	0.0	0.0	0.0	0	0	0	1
SpeltFoodProduct	spelt food product	A food product made from spelt wheat.		[{'predicate': 'subClassOf', 'target': 'WheatFoodProduct'}]		FOODON:00004434		0.0	0.0	0.0	0.0	0.0	0	0	0	1
LongGrainBrownRice_uncooked_	long grain brown rice (uncooked)			[{'predicate': 'subClassOf', 'target': 'BrownRiceFoodProduct'}]		FOODON:00004374	A specific type of Brown Rice Food Product that is renowned for its long, slender kernels and maintains a firm and chewy texture when cooked. It is uncooked and requires preparation, usually through boiling or steaming, before it becomes edible.	0.0	0.0	0.0	0.0	0.0	0	0	1	0
LongGrainBrownRice_cooked_	long grain brown rice (cooked)			[{'predicate': 'subClassOf', 'target': 'BrownRiceFoodProduct'}]		FOODON:00004373	A brown rice food product which is a cooked, longer grain rice, with only the hull removed during milling. It remains separate when cooked and is nutrient-rich, containing dietary fiber, vitamins, and minerals that promote health and wellness.	0.0	0.0	0.0	0.0	0.0	0	0	1	0
AnimalPieceS_	animal piece(s)	A collection of one or more anatomical or other pieces derived from animal(s).		[{'predicate': 'HasMember', 'target': 'AnimalPiece'}, {'predicate': 'subClassOf', 'target': 'AnimalMaterial'}]		FOODON:00004335		0.0	0.0	0.0	0.0	0.0	0	0	0	1
ShagbarkHickoryNut	shagbark hickory nut	A whole hickory nut from a shagbark hickory tree (Carya ovata)		[{'predicate': 'InTaxon', 'target': 'CaryaOvata'}, {'predicate': 'subClassOf', 'target': 'HickoryNut'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'HickoryNut'}, {'predicate': 'InTaxon', 'target': 'CaryaOvata'}]	FOODON:00004451	A hickory nut of a shagbark hickory tree (Carya Ovata).	0.0	0.0	0.0	0.0	0.0	0	0	1	1
MexicanGreySquash	mexican grey squash	A whole Mexican grey squash.		[{'predicate': 'subClassOf', 'target': 'SummerSquash'}]		FOODON:00004446	The Mexican Grey Squash is a type of Summer Squash, with a characteristically light grayish-green hue. Typically petite in size and harvested in its immature phase before the rinds harden. It is versatile in culinary uses, often featured in Mexican dishes like soups, stews, and sautés.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
